,Zone,Year,Month,Mean Temp (°C),Total Precip (mm)
0,Coastal_NorthIslandMidCoast,2023,12,,0.0
0,Coastal_NorthIslandMidCoast,2023,11,,0.0
0,Coastal_NorthIslandMidCoast,2023,10,,0.0
0,Coastal_NorthIslandMidCoast,2023,9,,0.0
0,Coastal_NorthIslandMidCoast,2023,8,,0.0
0,Coastal_NorthIslandMidCoast,2023,7,,0.0
0,Coastal_NorthIslandMidCoast,2023,6,,0.0
0,Coastal_NorthIslandMidCoast,2023,5,,0.0
0,Coastal_NorthIslandMidCoast,2023,4,,0.0
0,Coastal_NorthIslandMidCoast,2023,3,,0.0
0,Coastal_NorthIslandMidCoast,2023,2,,0.0
0,Coastal_NorthIslandMidCoast,2023,1,,0.0
0,Coastal_NorthIslandMidCoast,2022,12,,0.0
0,Coastal_NorthIslandMidCoast,2022,11,,0.0
0,Coastal_NorthIslandMidCoast,2022,10,,0.0
0,Coastal_NorthIslandMidCoast,2022,9,,0.0
0,Coastal_NorthIslandMidCoast,2022,8,,0.0
0,Coastal_NorthIslandMidCoast,2022,7,,0.0
0,Coastal_NorthIslandMidCoast,2022,6,,0.0
0,Coastal_NorthIslandMidCoast,2022,5,,0.0
0,Coastal_NorthIslandMidCoast,2022,4,,0.0
0,Coastal_NorthIslandMidCoast,2022,3,,0.0
0,Coastal_NorthIslandMidCoast,2022,2,,0.0
0,Coastal_NorthIslandMidCoast,2022,1,,0.0
0,Coastal_NorthIslandMidCoast,2021,12,,0.0
0,Coastal_NorthIslandMidCoast,2021,11,,0.0
0,Coastal_NorthIslandMidCoast,2021,10,,0.0
0,Coastal_NorthIslandMidCoast,2021,9,,0.0
0,Coastal_NorthIslandMidCoast,2021,8,,0.0
0,Coastal_NorthIslandMidCoast,2021,7,,0.0
0,Coastal_NorthIslandMidCoast,2021,6,,0.0
0,Coastal_NorthIslandMidCoast,2021,5,,0.0
0,Coastal_NorthIslandMidCoast,2021,4,,0.0
0,Coastal_NorthIslandMidCoast,2021,3,,0.0
0,Coastal_NorthIslandMidCoast,2021,2,,0.0
0,Coastal_NorthIslandMidCoast,2021,1,,0.0
0,Coastal_NorthIslandMidCoast,2020,12,,0.0
0,Coastal_NorthIslandMidCoast,2020,11,,0.0
0,Coastal_NorthIslandMidCoast,2020,10,,0.0
0,Coastal_NorthIslandMidCoast,2020,9,,0.0
0,Coastal_NorthIslandMidCoast,2020,8,,0.0
