FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
22,,1919,Person,1919-22,184.3,linens,,20070517130619,19190513,digitised,JA70003000,,2398348,1843471.7347,6428.6471,,
22,,1919,Person,1919-22,128.5,linens,,20070517130622,19190619,digitised,JA70003000,,2398349,1285600.1824,4593.2741,,
239,,1919,Person,1919-239,118.6,linens,,20070517130626,19190822,assumed_shape,JA70003000,,2398350,1186445.6531,4471.8641,,
24,,1919,Person,1919-24,198.9,linens,,20070517130618,19190418,digitised,JA70003000,,2398351,1989055.9027,10458.9134,,
242,,1919,Person,1919-242,51,linens,,20070517130624,19190716,assumed_shape,JA70003000,,2398352,510440.5721,3145.3868,,
245,,1919,Person,1919-245,59.8,linens,,20070517130623,19190828,assumed_shape,JA70003000,,2398353,598055.8125,3076.0317,,
254a,,1919,Person,1919-254a,21.9,linens,,20070517130613,19190728,digitised,JA70003000,,2398354,219173.4518,1817.1527,,
25c,,1919,Person,1919-25c,131.7,linens,,20070517130617,19190525,digitised,JA70003000,,2398355,1317072.1771,4430.6338,,
268,,1919,Person,1919-268,10.4,linens,,20070517130613,19190823,digitised,JA70003000,,2398356,104252.9882,1240.4514,,
27,,1919,Person,1919-27,716.1,linens,,20070517130616,19190606,digitised,JA70003000,,2398357,7161460.2567,11619.4899,,
27,,1919,Person,1919-27,173.2,linens,,20070517130616,19190606,digitised,JA70003000,,2398358,1732821.0039,7310.4197,,
27,,1919,Person,1919-27,610.5,linens,,20070517130649,19190721,assumed_shape,JA70003000,,2398359,6105724.9638,13443.9693,,
29a,,1917,Person,1917-29a,368.7,linens,,20070517130619,19170721,digitised,JA70003000,,2398287,3687044.3812,11885.5132,,
3,,1918,Person,1918-3,87.6,linens,,20070517130618,19180509,digitised,JA70003000,,2398288,876990.8126,4242.3611,,
367a,,1918,Person,1918-367a,69.2,linens,,20070517130624,19180628,assumed_shape,JA70003000,,2398289,692053.0258,3489.4806,,
398,,1918,Person,1918-398,64.7,linens,,20070517130613,19180923,digitised,JA70003000,,2398290,647224.931,5795.888,,
1,,1919,Person,1919-1,41.8,linens,,20070517130616,19190426,digitised,JA70003000,,2398291,418278.4296,2904.871,,
1,,1919,Person,1919-1,177.6,linens,,20070517130618,19190605,digitised,JA70003000,,2398292,1776136.0076,9225.8502,,
10,,1919,Person,1919-10,100.5,linens,,20070517130619,19190522,digitised,JA70003000,,2398293,1005611.5434,4100.3285,,
100,,1919,Person,1919-100,30.5,linens,,20070517130610,19190726,digitised,JA70003000,,2398294,305258.4195,2233.9435,,
102,,1919,Lightning,1919-102,872.2,linens,,20070517130614,19190818,digitised,JA70003000,,2398295,8722849.8376,15326.2936,,
105,,1919,Person,1919-105,121.7,linens,,20070517130620,19190730,digitised,JA70003000,,2398296,1217534.1867,5034.5335,,
106,,1919,Lightning,1919-106,760.3,linens,,20070517130623,19190731,assumed_shape,JA70003000,,2398297,7603030.4259,12007.9969,,
106a,,1919,Person,1919-106a,1499.4,linens,,20070517130616,19190827,digitised,JA70003000,,2398298,14994051.8996,18638.135,,
107,,1919,Lightning,1919-107,597.8,linens,,20070517130622,19190816,digitised,JA70003000,,2398299,5978017.4502,11378.2063,,
109,,1919,Lightning,1919-109,55.6,linens,,20070517130625,19190908,assumed_shape,JA70003000,,2398300,556818.5386,2712.1349,,
11,,1919,Person,1919-11,67.6,linens,,20070517130616,19190617,digitised,JA70003000,,2398301,676084.7833,3021.7439,,
110,,1919,Person,1919-110,659.4,linens,,20070517130621,19190818,digitised,JA70003000,,2398302,6594343.9188,12552.2741,,
110a,,1919,Lightning,1919-110a,3787.2,linens,,20070517130623,19190720,digitised,JA70003000,,2398303,37872666.0434,25660.314,,
111,,1919,Person,1919-111,87.8,linens,,20070517130624,19190726,assumed_shape,JA70003000,,2398304,878458.5986,4407.0809,,
112,,1919,Person,1919-112,149,linens,,20070517130624,19190717,assumed_shape,JA70003000,,2398305,1490265.2083,5078.2245,,
113,,1919,Person,1919-113,116.4,linens,,20070517130621,19190720,digitised,JA70003000,,2398306,1164519.8902,4329.6686,,
114,,1919,Lightning,1919-114,214.9,linens,,20070517130621,19190716,digitised,JA70003000,,2398307,2149865.1069,5694.7288,,
114,,1919,Person,1919-114,718.7,linens,,20070517130622,19190923,digitised,JA70003000,,2398308,7187146.5706,12383.3801,,
118,,1919,Person,1919-118,71.7,linens,,20070517130624,19190715,assumed_shape,JA70003000,,2398309,717455.9864,3549.4426,,
119,,1919,Person,1919-119,162.7,linens,,20070517130621,19191007,digitised,JA70003000,,2398310,1627569.4924,6136.542,,
12,,1919,Person,1919-12,52.7,linens,,20070517130611,19190619,digitised,JA70003000,,2398311,527401.5003,2768.0699,,
122,,1919,Person,1919-122,1336.5,linens,,20070517130622,19190830,digitised,JA70003000,,2398312,13365385.91,15084.4968,,
123,,1919,Person,1919-123,124.3,linens,,20070517130619,19190719,digitised,JA70003000,,2398313,1243627.5987,4621.034,,
125,,1919,Person,1919-125,507.1,linens,,20070517130626,19190716,assumed_shape,JA70003000,,2398314,5071639.3286,8383.0748,,
126,,1919,Person,1919-126,167.5,linens,,20070517130623,19190728,assumed_shape,JA70003000,,2398315,1675898.2454,6010.4312,,
129,,1919,Person,1919-129,66.9,linens,,20070517130619,19190815,digitised,JA70003000,,2398316,669224.3458,3118.763,,
13,,1919,Lightning,1919-13,130.6,linens,,20070517130616,19190517,digitised,JA70003000,,2398317,1306160.0866,4861.2602,,
131z,,1919,Person,1919-131z,53.2,linens,,20070517130612,19190723,digitised,JA70003000,,2398318,532752.5977,2845.7053,,
134,,1919,Lightning,1919-134,253.1,linens,,20070517130619,19190820,digitised,JA70003000,,2398319,2531026.6325,7891.0629,,
136,,1919,Person,1919-136,494.7,linens,,20070517130624,19190715,assumed_shape,JA70003000,,2398320,4947756.1847,14072.1513,,
14,,1919,Lightning,1919-14,119.6,linens,,20070517130620,19190607,digitised,JA70003000,,2398321,1196460.5333,4422.9076,,
141,,1919,Lightning,1919-141,76.8,linens,,20070517130610,19190825,digitised,JA70003000,,2398322,768879.005,3621.5547,,
142,,1919,Person,1919-142,105.1,linens,,20070517130619,19190827,digitised,JA70003000,,2398323,1051974.9549,4724.1969,,
143,,1919,Person,1919-143,85,linens,,20070517130619,19190820,digitised,JA70003000,,2398324,850655.9971,3599.8998,,
147,,1919,Person,1919-147,54.2,linens,,20070517130619,19190828,digitised,JA70003000,,2398325,542858.9842,3079.8497,,
149,,1919,Person,1919-149,18.7,linens,,20070517130619,19190824,digitised,JA70003000,,2398326,187126.2938,1874.5886,,
150,,1919,Lightning,1919-150,2250.8,linens,,20070517130620,19190823,digitised,JA70003000,,2398327,22508783.6144,19904.8171,,
151,,1919,Lightning,1919-151,135.3,linens,,20070517130621,19190819,digitised,JA70003000,,2398328,1353744.5622,5451.1374,,
155,,1919,Lightning,1919-155,88,linens,,20070517130620,19190819,digitised,JA70003000,,2398329,880755.4199,4176.7932,,
160,,1919,Person,1919-160,638.7,linens,,20070517130620,19190814,digitised,JA70003000,,2398330,6387043.1976,10479.7841,,
161a,,1919,Lightning,1919-161a,18.4,linens,,20070517130610,19190801,digitised,JA70003000,,2398331,184626.1732,1720.8405,,
169,,1919,Lightning,1919-169,1336.4,linens,,20070517130619,19190817,digitised,JA70003000,,2398332,13364561.6175,18181.2286,,
181,,1919,Person,1919-181,76.3,linens,,20070517130613,19190713,digitised,JA70003000,,2398333,763702.9305,4318.7796,,
188,,1919,Person,1919-188,44.7,linens,,20070517130622,19190929,assumed_shape,JA70003000,,2398334,447715.8878,2443.9708,,
19,,1919,Person,1919-19,81.8,linens,,20070517130612,19190521,digitised,JA70003000,,2398335,818921.7235,4072.4735,,
19,,1919,Person,1919-19,122.4,linens,,20070517130616,19190522,digitised,JA70003000,,2398336,1224776.6995,5693.3651,,
192,,1919,Person,1919-192,125.5,linens,,20070517130613,19190709,digitised,JA70003000,,2398337,1255855.765,4339.0174,,
192,,1919,Person,1919-192,155.1,linens,,20070517130625,19190709,assumed_shape,JA70003000,,2398338,1551920.7363,6757.096,,
194,,1919,Person,1919-194,131.8,linens,,20070517130625,19190711,assumed_shape,JA70003000,,2398339,1318459.7023,4932.8602,,
197,,1919,Person,1919-197,57.4,linens,,20070517130623,19190727,assumed_shape,JA70003000,,2398340,574961.2519,3059.404,,
2,,1919,Person,1919-2,64.9,linens,,20070517130625,19190607,assumed_shape,JA70003000,,2398341,649573.0473,5134.5643,,
20,,1919,Person,1919-20,99.4,linens,,20070517130616,19190528,digitised,JA70003000,,2398342,994508.2997,3670.4636,,
20,,1919,Person,1919-20,151.4,linens,,20070517130622,19190621,digitised,JA70003000,,2398343,1514709.2783,5258.1447,,
201,,1919,Person,1919-201,326.1,linens,,20070517130623,19190727,assumed_shape,JA70003000,,2398344,3261631.0452,7342.751,,
21,,1919,Person,1919-21,90.8,linens,,20070517130621,19190622,digitised,JA70003000,,2398345,908970.9921,5282.2959,,
212,,1919,Person,1919-212,138,linens,,20070517130612,19190808,digitised,JA70003000,,2398346,1380510.1089,5600.285,,
215,,1919,Person,1919-215,53.2,linens,,20070517130613,19190810,digitised,JA70003000,,2398347,532794.9575,3488.2858,,
376,,1919,Person,1919-376,698.6,linens,,20070517130614,19190802,digitised,JA70003000,,2398388,6986889.6731,12378.0981,,
38,,1919,Person,1919-38,22.1,linens,,20070517130621,19190710,digitised,JA70003000,,2398389,221278.0954,2023.8374,,
386a,,1919,Person,1919-386a,49.5,linens,,20070517130624,19190725,assumed_shape,JA70003000,,2398390,495225.478,3240.9008,,
39,,1919,Lightning,1919-39,104.8,linens,,20070517130621,19190713,assumed_shape,JA70003000,,2398391,1048946.5129,4182.188,,
397,,1919,Person,1919-397,1330.3,linens,,20070517130624,19190902,assumed_shape,JA70003000,,2398392,13303650.2201,15896.1292,,
