"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-01","2011","01","01","†","-12.0","","-23.5","","-17.8","","35.8","","0.0","","0.0","","1.2","","1.2","","25","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-02","2011","01","02","†","-7.5","","-14.5","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-03","2011","01","03","†","-7.0","","-11.0","","-9.0","","27.0","","0.0","","0.0","","1.2","","1.2","","25","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-04","2011","01","04","†","-6.0","","-13.0","","-9.5","","27.5","","0.0","","0.0","","8.2","","8.2","","26","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-05","2011","01","05","†","-2.0","","-7.5","","-4.8","","22.8","","0.0","","0.0","","5.0","","5.0","","35","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-06","2011","01","06","†","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.0","","2.0","","2.0","","39","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-07","2011","01","07","†","3.5","","-6.0","","-1.3","","19.3","","0.0","","0.4","","5.8","","6.2","","35","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-08","2011","01","08","†","-8.5","","-11.0","","-9.8","","27.8","","0.0","","0.0","","0.8","","0.8","","38","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-09","2011","01","09","†","-14.5","","-16.5","","-15.5","","33.5","","0.0","","0.0","","0.8","","0.8","","41","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-10","2011","01","10","†","-14.0","","-17.0","","-15.5","","33.5","","0.0","","0.0","","0.6","","0.6","","42","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-11","2011","01","11","†","-11.0","","-24.5","","-17.8","","35.8","","0.0","","0.0","","5.4","","5.4","","40","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-12","2011","01","12","†","-4.0","","-16.5","","-10.3","","28.3","","0.0","","0.0","","6.6","","6.6","","45","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-13","2011","01","13","†","-15.5","","-21.0","","-18.3","","36.3","","0.0","","0.0","","23.4","","23.4","","50","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-14","2011","01","14","†","-18.0","","-22.5","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","71","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-15","2011","01","15","†","-6.0","","-23.0","","-14.5","","32.5","","0.0","","0.2","","0.6","","0.8","","70","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-16","2011","01","16","†","-1.0","","-16.0","","-8.5","","26.5","","0.0","","0.2","","0.2","","0.4","","62","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-17","2011","01","17","†","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","0.4","","0.4","","52","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-18","2011","01","18","†","-8.0","","-24.0","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-19","2011","01","19","†","-8.0","","-25.5","","-16.8","","34.8","","0.0","","0.0","","0.8","","0.8","","47","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-20","2011","01","20","†","-6.0","","-14.0","","-10.0","","28.0","","0.0","","0.0","","2.4","","2.4","","46","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-21","2011","01","21","†","-3.0","","-14.0","","-8.5","","26.5","","0.0","","0.0","","2.6","","2.6","","47","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-22","2011","01","22","†","0.0","","-13.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-23","2011","01","23","†","2.0","","-14.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-24","2011","01","24","†","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.6","","1.4","","2.0","","47","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-25","2011","01","25","†","-2.5","","-9.0","","-5.8","","23.8","","0.0","","0.0","T","0.0","","0.0","T","47","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-26","2011","01","26","†","2.5","","-6.0","","-1.8","","19.8","","0.0","","0.0","T","0.0","","0.0","T","46","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-27","2011","01","27","†","2.0","","-6.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-28","2011","01","28","†","-1.0","","-7.0","","-4.0","","22.0","","0.0","","0.0","","3.6","","3.6","","46","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","2011-01-29","2011","01","29","†","-11.0","","-14.0","","-12.5","","30.5","","0.0","","0.0","","0.2","","0.2","","48","","","","",""
