"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-01","2015","01","01","","-0.5","","-15.9","","-8.2","","26.2","","0.0","","","M","","M","0.0","","19","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-02","2015","01","02","","4.1","","-10.0","","-3.0","","21.0","","0.0","","","M","","M","0.0","","19","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-03","2015","01","03","","-4.7","","-17.5","","-11.1","","29.1","","0.0","","","M","","M","0.6","","19","","8","","33",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-04","2015","01","04","","-16.3","","-19.8","","-18.1","","36.1","","0.0","","","M","","M","10.6","","20","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-05","2015","01","05","","-11.4","","-17.8","","-14.6","","32.6","","0.0","","","M","","M","15.8","","31","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-06","2015","01","06","","-3.7","","-11.8","","-7.8","","25.8","","0.0","","","M","","M","0.0","","43","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-07","2015","01","07","","-1.2","","-14.8","","-8.0","","26.0","","0.0","","","M","","M","22.5","","40","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-08","2015","01","08","","-3.6","","-14.0","","-8.8","","26.8","","0.0","","","M","","M","1.4","","39","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-09","2015","01","09","","-5.4","","-13.4","","-9.4","","27.4","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-10","2015","01","10","","-2.6","","-13.8","","-8.2","","26.2","","0.0","","","M","","M","5.3","","36","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-11","2015","01","11","","-4.3","","-10.6","","-7.5","","25.5","","0.0","","","M","","M","0.0","","36","","","","<31",""
"-124.14","52.11","PUNTZI MOUNTAIN (AUT)","1086558","2015-01-12","2015","01","12","","-4.5","","-15.7","","-10.1","","28.1","","0.0","","","M","","M","0.0","","35","","","","<31",""
