"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-01","2021","01","01","","11.9","","5.0","","8.5","","9.5","","0.0","","18.1","","0.0","","18.1","","","","20","","48",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-02","2021","01","02","","","M","","M","","M","","M","","M","","M","","M","","M","","","17","","89",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-03","2021","01","03","","7.3","","1.7","","4.5","","13.5","","0.0","","1.1","","0.0","","1.1","","","","18","","50",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-04","2021","01","04","","6.9","","4.3","","5.6","","12.4","","0.0","","32.4","","0.0","","32.4","","","","5","","35",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-05","2021","01","05","","7.8","","1.4","","4.6","","13.4","","0.0","","12.9","","0.0","","12.9","","","","17","","37",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-06","2021","01","06","","9.7","","1.9","","5.8","","12.2","","0.0","","3.5","","0.0","","3.5","","","","18","","45",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-07","2021","01","07","","6.8","","-2.0","","2.4","","15.6","","0.0","","0.0","","0.0","","0.0","","","","8","","39",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-08","2021","01","08","","6.5","","2.9","","4.7","","13.3","","0.0","","12.2","","0.0","","12.2","","","","9","","42",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-09","2021","01","09","","7.0","","0.6","","3.8","","14.2","","0.0","","0.0","T","0.0","","0.0","T","","","","","","M"
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-10","2021","01","10","","6.4","","3.9","","5.2","","12.8","","0.0","","2.9","","0.0","","2.9","","","","","","","M"
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-11","2021","01","11","","8.8","","5.0","","6.9","","11.1","","0.0","","20.2","","0.0","","20.2","","","","16","","54",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-12","2021","01","12","","13.3","","6.0","","9.7","","8.3","","0.0","","39.4","","0.0","","39.4","","","","17","","52",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-13","2021","01","13","","14.0","","1.3","","7.7","","10.3","","0.0","","8.1","","0.0","","8.1","","","","21","","89",""
"-122.36","49.03","ABBOTSFORD A","1100031","2021-01-14","2021","01","14","","","M","","M","","M","","M","","M","0.0","T","0.0","","0.0","T","","","","M","","M"
