"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-01","2012","01","01","","1.8","","-1.0","","0.4","","17.6","","0.0","","","M","","M","3.6","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-02","2012","01","02","","3.0","","-0.3","","1.4","","16.6","","0.0","","","M","","M","8.6","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-03","2012","01","03","","6.6","","1.3","","4.0","","14.0","","0.0","","","M","","M","72.4","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-04","2012","01","04","","10.7","","4.3","","7.5","","10.5","","0.0","","","M","","M","60.6","","","","16","","32",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-05","2012","01","05","","8.0","","0.2","","4.1","","13.9","","0.0","","","M","","M","11.8","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-06","2012","01","06","","3.8","","0.1","","2.0","","16.0","","0.0","","","M","","M","2.2","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-07","2012","01","07","","4.0","","2.2","","3.1","","14.9","","0.0","","","M","","M","4.6","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-08","2012","01","08","","7.4","","2.3","","4.9","","13.1","","0.0","","","M","","M","7.0","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-09","2012","01","09","","8.9","","1.5","","5.2","","12.8","","0.0","","","M","","M","5.2","","","","10","","33",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-10","2012","01","10","","4.3","","-2.8","","0.8","","17.2","","0.0","","","M","","M","0.2","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-11","2012","01","11","","3.1","","-3.9","","-0.4","","18.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-12","2012","01","12","","1.2","","-4.5","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-13","2012","01","13","","-0.4","","-2.4","","-1.4","","19.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-14","2012","01","14","","4.1","","-3.6","","0.3","","17.7","","0.0","","","M","","M","3.6","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-15","2012","01","15","","1.8","","-6.9","","-2.6","","20.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-16","2012","01","16","","-1.6","","-7.7","","-4.7","","22.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-17","2012","01","17","","0.5","","-9.5","","-4.5","","22.5","","0.0","","","M","","M","0.4","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-18","2012","01","18","","-2.6","","-9.7","","-6.2","","24.2","","0.0","","","M","","M","1.6","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-19","2012","01","19","","-0.5","","-9.5","","-5.0","","23.0","","0.0","","","M","","M","0.2","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-20","2012","01","20","","0.3","","-3.3","","-1.5","","19.5","","0.0","","","M","","M","4.6","","","","","","<31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2012-01-21","2012","01","21","","4.1","","-0.9","","1.6","","16.4","","0.0","","","M","","M","41.2","","","","","","<31",""
