"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-01","2012","01","01","†","3.0","","-0.7","","1.2","","16.8","","0.0","","9.6","","0.0","T","10.0","","2","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-02","2012","01","02","†","2.6","","0.7","","1.7","","16.3","","0.0","","15.6","","0.0","","15.6","","2","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-03","2012","01","03","†","4.0","","1.0","","2.5","","15.5","","0.0","","39.4","","0.0","","39.4","","1","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-04","2012","01","04","†","6.9","","2.4","","4.7","","13.3","","0.0","","32.0","","0.0","","32.0","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-05","2012","01","05","†","5.2","","2.2","","3.7","","14.3","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-06","2012","01","06","†","3.5","","-0.1","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-07","2012","01","07","†","1.8","","-1.7","","0.1","","17.9","","0.0","","41.8","","3.6","","49.8","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-08","2012","01","08","†","4.0","","0.2","","2.1","","15.9","","0.0","","48.6","","0.8","","72.2","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-09","2012","01","09","†","4.8","","-0.2","","2.3","","15.7","","0.0","","4.4","","3.6","","12.4","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-10","2012","01","10","†","1.5","","-2.6","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-11","2012","01","11","†","0.6","","-5.2","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-12","2012","01","12","†","4.7","","-4.4","","0.2","","17.8","","0.0","","0.6","","0.0","T","0.8","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-13","2012","01","13","†","3.9","","0.4","","2.2","","15.8","","0.0","","0.4","","4.8","","5.2","","0","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-14","2012","01","14","†","1.0","","-1.2","","-0.1","","18.1","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-15","2012","01","15","†","-5.2","","-7.6","","-6.4","","24.4","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-16","2012","01","16","†","-10.6","","-14.1","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-17","2012","01","17","†","-17.1","","-19.0","","-18.1","","36.1","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-18","2012","01","18","†","-15.1","","-19.6","","-17.4","","35.4","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-19","2012","01","19","†","-9.3","","-18.2","","-13.8","","31.8","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-20","2012","01","20","†","-5.8","","-12.7","","-9.3","","27.3","","0.0","","0.0","","2.4","","2.4","","4","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-21","2012","01","21","†","-4.8","","-6.7","","-5.8","","23.8","","0.0","","0.0","","15.0","","15.0","","6","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-22","2012","01","22","†","3.0","","-5.7","","-1.4","","19.4","","0.0","","2.8","","0.2","","5.8","","21","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-23","2012","01","23","†","2.9","","-2.9","","0.0","","18.0","","0.0","","1.2","","3.4","","5.8","","14","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-24","2012","01","24","†","5.7","","0.0","","2.9","","15.1","","0.0","","28.0","","5.6","","61.6","","10","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-25","2012","01","25","†","2.7","","0.1","","1.4","","16.6","","0.0","","0.8","","7.2","","8.8","","6","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-26","2012","01","26","†","2.7","","-0.9","","0.9","","17.1","","0.0","","1.2","","2.0","","4.4","","11","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-27","2012","01","27","†","4.2","","-1.6","","1.3","","16.7","","0.0","","2.8","","0.0","T","4.0","","10","","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-28","2012","01","28","†","5.0","","0.0","","2.5","","15.5","","0.0","","50.2","","5.4","","60.0","","0","T","","","",""
"-126.60","52.39","BELLA COOLA A","1060841","2012-01-29","2012","01","29","†","6.1","","0.2","","3.2","","14.8","","0.0","","6.0","","0.0","","6.0","","4","","","","",""
