"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.50","49.83","POWELL RIVER","1046392","2008-01-01","2008","01","01","","8.7","","-0.8","","4.0","","14.0","","0.0","","","M","","M","0.6","","","","14","","61",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-02","2008","01","02","","6.3","","2.8","","4.6","","13.4","","0.0","","","M","","M","4.9","","","","11","","52",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-03","2008","01","03","","7.5","","4.8","","6.2","","11.8","","0.0","","","M","","M","8.5","","","","12","","69",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-04","2008","01","04","","9.5","","4.1","","6.8","","11.2","","0.0","","","M","","M","4.0","","","","12","","74",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-05","2008","01","05","","8.5","","3.6","","6.1","","11.9","","0.0","","","M","","M","6.0","","","","11","","80",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-06","2008","01","06","","","M","1.7","E","","M","","M","","M","","M","","M","0.4","","","","","M","","M"
"-124.50","49.83","POWELL RIVER","1046392","2008-01-07","2008","01","07","","","M","","M","","M","","M","","M","","M","","M","0.9","","","","","M","","M"
"-124.50","49.83","POWELL RIVER","1046392","2008-01-08","2008","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-09","2008","01","09","","","M","","M","","M","","M","","M","","M","","M","4.7","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-10","2008","01","10","","6.1","","0.9","","3.5","","14.5","","0.0","","","M","","M","11.4","","","","9","","41",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-11","2008","01","11","","8.3","","4.3","","6.3","","11.7","","0.0","","","M","","M","1.4","","","","12","","39",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-12","2008","01","12","","7.3","","5.2","","6.3","","11.7","","0.0","","","M","","M","4.1","","","","11","","56",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-13","2008","01","13","","","M","4.6","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-124.50","49.83","POWELL RIVER","1046392","2008-01-14","2008","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-15","2008","01","15","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-16","2008","01","16","","","M","-1.5","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-124.50","49.83","POWELL RIVER","1046392","2008-01-17","2008","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-18","2008","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-19","2008","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-20","2008","01","20","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-21","2008","01","21","","4.6","","-5.4","","-0.4","","18.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-22","2008","01","22","","3.3","","-5.4","","-1.1","","19.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-23","2008","01","23","","2.7","","-5.0","","-1.2","","19.2","","0.0","","","M","","M","0.1","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-24","2008","01","24","","2.9","","-4.8","","-1.0","","19.0","","0.0","","","M","","M","0.2","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-25","2008","01","25","","2.4","","-5.4","","-1.5","","19.5","","0.0","","","M","","M","0.2","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-26","2008","01","26","","3.2","","-0.5","","1.4","","16.6","","0.0","","","M","","M","1.1","","","","10","","44",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-27","2008","01","27","","3.7","","-2.5","","0.6","","17.4","","0.0","","","M","","M","1.4","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-28","2008","01","28","","0.9","","-6.0","","-2.6","","20.6","","0.0","","","M","","M","0.2","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-29","2008","01","29","","3.5","","-0.8","","1.4","","16.6","","0.0","","","M","","M","2.9","","1","","11","","43",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-30","2008","01","30","","3.0","","-1.7","","0.7","","17.3","","0.0","","","M","","M","7.7","","","","11","","56",""
"-124.50","49.83","POWELL RIVER","1046392","2008-01-31","2008","01","31","","4.4","","0.7","","2.6","","15.4","","0.0","","","M","","M","3.6","","","","12","","43",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-01","2008","02","01","","4.3","","0.1","","2.2","","15.8","","0.0","","","M","","M","2.4","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-02","2008","02","02","","3.8","","-2.1","","0.9","","17.1","","0.0","","","M","","M","0.9","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-03","2008","02","03","","2.5","","-4.4","","-1.0","","19.0","","0.0","","","M","","M","0.2","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-04","2008","02","04","","1.1","","-4.4","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-05","2008","02","05","","5.9","","-0.6","","2.7","","15.3","","0.0","","","M","","M","11.0","","","","13","","70",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-06","2008","02","06","","3.1","","-1.3","","0.9","","17.1","","0.0","","","M","","M","7.1","","","","11","","67",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-07","2008","02","07","","6.5","","1.1","","3.8","","14.2","","0.0","","","M","","M","4.5","","","","11","","54",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-08","2008","02","08","","5.4","","2.2","","3.8","","14.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-09","2008","02","09","","6.8","","1.8","","4.3","","13.7","","0.0","","","M","","M","2.4","","","","9","","39",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-10","2008","02","10","","8.2","","1.9","","5.1","","12.9","","0.0","","","M","","M","0.4","","","","13","","35",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-11","2008","02","11","","5.3","","1.7","","3.5","","14.5","","0.0","","","M","","M","9.0","","","","11","","41",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-12","2008","02","12","","9.1","","3.7","","6.4","","11.6","","0.0","","","M","","M","2.3","","","","11","","46",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-13","2008","02","13","","7.3","","-1.1","","3.1","","14.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-14","2008","02","14","","5.8","","-1.6","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-15","2008","02","15","","4.8","","3.0","","3.9","","14.1","","0.0","","","M","","M","2.1","","","","11","","43",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-16","2008","02","16","","6.9","","0.1","","3.5","","14.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-17","2008","02","17","","2.6","","-2.2","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-18","2008","02","18","","5.9","","-2.8","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-19","2008","02","19","","9.5","","-2.8","","3.4","","14.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-124.50","49.83","POWELL RIVER","1046392","2008-02-20","2008","02","20","","8.1","","3.1","","5.6","","12.4","","0.0","","","M","","M","0.0","","","","","","<31",""
