"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-01","2019","01","01","","-1.1","","-4.2","","-2.7","","20.7","","0.0","","0.0","","1.6","","1.4","","8","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-02","2019","01","02","","2.5","","-4.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","9","","10","","61",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-03","2019","01","03","","5.3","","1.3","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","7","","9","","58",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-04","2019","01","04","","12.0","","3.0","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","2","","10","","54",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-05","2019","01","05","","7.6","","1.7","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","","","7","","39",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-06","2019","01","06","","8.7","","-1.0","","3.9","","14.1","","0.0","","0.0","T","0.0","","0.0","T","","","19","","52",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-07","2019","01","07","","2.2","","-6.6","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","","","27","","32",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-08","2019","01","08","","-2.0","","-8.9","","-5.5","","23.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","14","","32",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-09","2019","01","09","","1.3","","-3.1","","-0.9","","18.9","","0.0","","0.0","","2.2","","2.2","","0","T","11","","39",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-10","2019","01","10","","5.7","","-0.4","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","1","","11","","50",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-11","2019","01","11","","5.8","","0.7","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","","","11","","33",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-12","2019","01","12","","4.9","","-0.6","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","9","","33",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-13","2019","01","13","","1.9","","-1.1","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-14","2019","01","14","","-0.2","","-1.8","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-15","2019","01","15","","-1.4","","-2.8","","-2.1","","20.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-16","2019","01","16","","-0.7","","-2.9","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-17","2019","01","17","","0.3","","-3.1","","-1.4","","19.4","","0.0","","0.0","","1.2","","1.2","","0","T","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-18","2019","01","18","","5.3","","-2.4","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","1","","11","","46",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-19","2019","01","19","","11.0","","1.1","","6.1","","11.9","","0.0","","0.4","","0.0","","0.4","","","","9","","41",""
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-20","2019","01","20","","2.5","","-5.8","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2019-01-21","2019","01","21","","1.8","","-7.0","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
