"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.93","50.68","LILLOOET","1114619","2009-01-01","2009","01","01","","-2.2","","-8.1","","-5.2","","23.2","","0.0","","","M","","M","","M","","","","M","","M"
"-121.93","50.68","LILLOOET","1114619","2009-01-02","2009","01","02","","-2.6","","-15.8","","-9.2","","27.2","","0.0","","","M","","M","","M","","","","M","","M"
"-121.93","50.68","LILLOOET","1114619","2009-01-03","2009","01","03","","-8.6","","-16.1","","-12.4","","30.4","","0.0","","","M","","M","","M","","","","M","","M"
"-121.93","50.68","LILLOOET","1114619","2009-01-04","2009","01","04","","2.7","","-10.7","","-4.0","","22.0","","0.0","","","M","","M","","M","","","","M","","M"
"-121.93","50.68","LILLOOET","1114619","2009-01-05","2009","01","05","","3.0","","-1.8","","0.6","","17.4","","0.0","","","M","","M","","M","","","","M","","M"
"-121.93","50.68","LILLOOET","1114619","2009-01-06","2009","01","06","","6.5","","0.7","","3.6","","14.4","","0.0","","","M","","M","","M","","","","M","","M"
"-121.93","50.68","LILLOOET","1114619","2009-01-07","2009","01","07","","6.9","","1.9","","4.4","","13.6","","0.0","","","M","","M","","M","","","","M","","M"
"-121.93","50.68","LILLOOET","1114619","2009-01-08","2009","01","08","","7.9","","-0.2","","3.9","","14.1","","0.0","","","M","","M","","M","","","","M","","M"
"-121.93","50.68","LILLOOET","1114619","2009-01-09","2009","01","09","","8.1","","0.2","","4.2","","13.8","","0.0","","","M","","M","","M","","","","M","","M"
"-121.93","50.68","LILLOOET","1114619","2009-01-10","2009","01","10","","8.4","","3.3","","5.9","","12.1","","0.0","","","M","","M","","M","","","","M","","M"
