"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.80","50.11","MERRITT STP","1125079","2020-01-01","2020","01","01","†","10.0","","1.0","","5.5","","12.5","","0.0","","0.0","","1.6","","1.6","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-02","2020","01","02","†","6.0","","-1.5","","2.3","","15.7","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-03","2020","01","03","†","13.0","","-1.0","","6.0","","12.0","","0.0","","0.0","","0.8","","0.8","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-04","2020","01","04","†","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-05","2020","01","05","†","6.0","","1.0","","3.5","","14.5","","0.0","","4.0","","0.0","T","4.0","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-06","2020","01","06","†","1.5","","-2.0","","-0.3","","18.3","","0.0","","0.0","","3.4","","3.4","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-07","2020","01","07","†","6.0","","-2.5","","1.8","","16.2","","0.0","","0.2","","0.2","","0.4","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-08","2020","01","08","†","0.0","","-2.5","","-1.3","","19.3","","0.0","","0.0","","13.0","","13.0","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-09","2020","01","09","†","-2.0","","-10.0","","-6.0","","24.0","","0.0","","0.0","","0.2","","0.2","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-10","2020","01","10","†","1.0","","-11.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-11","2020","01","11","†","2.0","","-6.0","","-2.0","","20.0","","0.0","","0.0","","0.2","","0.2","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-12","2020","01","12","†","-3.0","","-6.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-13","2020","01","13","†","-17.0","","-21.0","","-19.0","","37.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-14","2020","01","14","†","-18.5","","-20.5","","-19.5","","37.5","","0.0","","0.0","","1.4","","1.4","","0","","","","",""
"-120.80","50.11","MERRITT STP","1125079","2020-01-15","2020","01","15","†","-22.0","","-23.0","","-22.5","","40.5","","0.0","","0.0","","5.0","","5.0","","0","","","","",""
