"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126146","2023-01-01","2023","01","01","","3.0","","-1.2","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-02","2023","01","02","","0.1","","-2.5","","-1.2","","19.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","17","","38",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-03","2023","01","03","","1.0","","-0.9","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","","","16","","32",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-04","2023","01","04","","1.5","","-1.4","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-05","2023","01","05","","0.2","","-2.8","","-1.3","","19.3","","0.0","","0.0","","1.0","","0.2","","1","E","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-06","2023","01","06","","4.4","","-5.1","","-0.4","","18.4","","0.0","","0.0","T","0.0","","0.0","T","0","T","19","","36",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-07","2023","01","07","","3.8","","2.0","","2.9","","15.1","","0.0","","0.0","T","0.0","","0.0","T","","","15","","39",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-08","2023","01","08","","3.8","","1.1","","2.5","","15.5","","0.0","","1.7","","0.0","","1.7","","","","16","","42",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-09","2023","01","09","","4.1","","0.9","","2.5","","15.5","","0.0","","0.4","","0.0","","0.4","","","","17","","38",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-10","2023","01","10","","5.0","","0.1","","2.6","","15.4","","0.0","","0.3","","0.0","","0.3","","","","16","","38",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-11","2023","01","11","","3.4","","0.2","","1.8","","16.2","","0.0","","0.0","T","0.0","","0.0","T","","","17","","31",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-12","2023","01","12","","5.7","","1.8","","3.8","","14.2","","0.0","","0.2","","0.0","","0.2","","","","16","","47",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-13","2023","01","13","","","M","","M","","M","","M","","M","0.7","","0.0","","0.7","","","","17","","46",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-14","2023","01","14","","5.2","","3.3","","4.3","","13.7","","0.0","","0.4","","0.0","","0.4","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-15","2023","01","15","","4.6","","2.8","","3.7","","14.3","","0.0","","2.9","","0.0","","2.9","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-16","2023","01","16","","6.5","","2.2","","4.4","","13.6","","0.0","","1.4","","0.0","","1.4","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-17","2023","01","17","","3.8","","1.1","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","","","18","","42",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-18","2023","01","18","","3.8","","1.0","","2.4","","15.6","","0.0","","0.4","","0.0","","0.4","","","","16","","43",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-19","2023","01","19","","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-20","2023","01","20","","1.0","","-3.4","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-21","2023","01","21","","0.8","","-4.0","","-1.6","","19.6","","0.0","","0.0","","0.6","","0.6","","0","T","19","","58",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-22","2023","01","22","","5.6","","-4.0","","0.8","","17.2","","0.0","","0.0","","1.2","","1.2","","2","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-23","2023","01","23","","3.0","","-3.3","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","0","T","19","","49",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-24","2023","01","24","","2.4","","-1.0","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","","","18","","40",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-25","2023","01","25","","4.2","","-0.7","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-01-26","2023","01","26","","2.5","","-0.4","","1.1","","16.9","","0.0","","0.4","","0.0","","0.4","","","","19","","33",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-27","2023","01","27","","11.1","","0.2","","5.7","","12.3","","0.0","","2.1","","0.0","","2.1","","","","33","","55",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-28","2023","01","28","","5.6","","-2.4","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","","","33","","44",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-29","2023","01","29","","-1.9","","-10.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","","","35","","46",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-30","2023","01","30","","-4.1","","-12.2","","-8.2","","26.2","","0.0","","0.0","","0.0","","0.0","","","","18","","48",""
"-119.60","49.46","PENTICTON A","1126146","2023-01-31","2023","01","31","","-0.9","","-5.2","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","","","18","","43",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-01","2023","02","01","","-0.6","","-4.8","","-2.7","","20.7","","0.0","","0.0","","2.2","","1.8","","1","","17","","37",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-02","2023","02","02","","2.0","","-3.1","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","1","","15","","35",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-03","2023","02","03","","4.3","","-4.6","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","","","19","","57",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-04","2023","02","04","","4.3","","1.0","","2.7","","15.3","","0.0","","0.0","T","0.0","","0.0","T","","","18","","49",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-05","2023","02","05","","5.2","","1.0","","3.1","","14.9","","0.0","","1.3","","0.0","T","1.3","","","","18","","42",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-06","2023","02","06","","5.4","","0.8","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","","","18","","51",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-07","2023","02","07","","6.9","","2.4","","4.7","","13.3","","0.0","","0.9","","0.0","","0.9","","","","19","","64",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-08","2023","02","08","","8.6","","-2.3","","3.2","","14.8","","0.0","","0.0","","0.0","","0.0","","","","10","","54",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-09","2023","02","09","","5.6","","1.5","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","","","18","","40",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-10","2023","02","10","","7.1","","0.4","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","","","19","","54",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-11","2023","02","11","","6.5","","-5.2","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","","","18","","32",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-12","2023","02","12","","","M","","M","","M","","M","","M","","M","","M","","M","","","20","","58",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-13","2023","02","13","","8.0","","-0.8","","3.6","","14.4","","0.0","","0.0","T","0.0","","0.0","T","","","18","","59",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-14","2023","02","14","","7.6","","-4.5","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","","","1","","45",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-15","2023","02","15","","5.6","","-8.2","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","","","18","","32",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-16","2023","02","16","","5.8","","-3.8","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","","","15","","45",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-17","2023","02","17","","7.5","","0.3","","3.9","","14.1","","0.0","","0.0","","0.0","T","0.0","T","","","18","","31",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-18","2023","02","18","","9.1","","-3.3","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","","","27","","76",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-19","2023","02","19","","6.2","","-4.0","","1.1","","16.9","","0.0","","0.0","T","0.0","","0.0","T","","","22","","60",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-20","2023","02","20","","8.1","","2.1","","5.1","","12.9","","0.0","","0.3","","0.0","","0.3","","","","18","","46",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-21","2023","02","21","","9.2","","-3.1","","3.1","","14.9","","0.0","","0.0","","0.0","T","0.0","T","","","35","","60",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-22","2023","02","22","","-2.6","","-6.2","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","","","36","","37",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-23","2023","02","23","","-4.2","","-9.6","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","","","33","","37",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-24","2023","02","24","","-3.5","","-12.2","","-7.9","","25.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-02-25","2023","02","25","","-2.3","","-8.1","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","","","17","","55",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-26","2023","02","26","","1.7","","-2.4","","-0.4","","18.4","","0.0","","0.0","","0.0","T","0.0","T","","","17","","53",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-27","2023","02","27","","1.7","","-8.3","","-3.3","","21.3","","0.0","","0.0","","0.2","","0.2","","0","T","17","","33",""
"-119.60","49.46","PENTICTON A","1126146","2023-02-28","2023","02","28","","0.3","","-1.9","","-0.8","","18.8","","0.0","","0.0","","5.6","","5.1","","0","T","9","","52",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-01","2023","03","01","","1.7","","-5.6","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","T","4","","19","","41",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-02","2023","03","02","","8.1","","0.0","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","","","17","","50",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-03","2023","03","03","","6.0","","-0.9","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","","","17","","40",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-04","2023","03","04","","2.4","","-3.3","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-03-05","2023","03","05","","5.6","","-2.1","","1.8","","16.2","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-03-06","2023","03","06","","6.7","","-2.7","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-03-07","2023","03","07","","8.6","","-2.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","","","18","","39",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-08","2023","03","08","","6.6","","-4.9","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-03-09","2023","03","09","","5.6","","-4.5","","0.6","","17.4","","0.0","","0.0","","0.0","T","0.0","T","","","12","","73",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-10","2023","03","10","","5.2","","-0.7","","2.3","","15.7","","0.0","","0.0","","0.0","T","0.0","T","","","2","","36",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-11","2023","03","11","","7.3","","-1.2","","3.1","","14.9","","0.0","","0.0","","0.0","T","0.0","T","","","16","","33",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-12","2023","03","12","","5.3","","-4.1","","0.6","","17.4","","0.0","","0.0","","0.0","T","0.0","T","","","19","","45",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-13","2023","03","13","","7.5","","1.7","","4.6","","13.4","","0.0","","0.7","","0.0","","0.7","","","","19","","58",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-14","2023","03","14","","8.9","","-4.6","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","19","","32",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-15","2023","03","15","","11.6","","-5.2","","3.2","","14.8","","0.0","","0.0","","0.0","","0.0","","","","27","","37",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-16","2023","03","16","","8.2","","-7.0","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-03-17","2023","03","17","","12.4","","-6.7","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","","","17","","36",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-18","2023","03","18","","13.7","","-3.6","","5.1","","12.9","","0.0","","0.0","","0.0","","0.0","","","","17","","34",""
"-119.60","49.46","PENTICTON A","1126146","2023-03-19","2023","03","19","","11.0","","-4.7","","3.2","","14.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-03-20","2023","03","20","","11.2","","1.2","","6.2","","11.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2023-03-21","2023","03","21","","12.7","","-6.1","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
