"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.19","50.22","VERNON AUTO","1128582","2023-01-01","2023","01","01","","0.8","","-4.4","","-1.8","","19.8","","0.0","","","","","","0.0","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-02","2023","01","02","","0.7","","-6.0","","-2.6","","20.6","","0.0","","","","","","0.0","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-03","2023","01","03","","-0.5","","-6.6","","-3.6","","21.6","","0.0","","","","","","0.0","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-04","2023","01","04","","0.1","","-2.6","","-1.2","","19.2","","0.0","","","","","","0.0","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-05","2023","01","05","","0.5","","-3.6","","-1.6","","19.6","","0.0","","","","","","0.0","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-06","2023","01","06","","2.2","","-5.9","","-1.8","","19.8","","0.0","","","","","","0.0","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-07","2023","01","07","","2.4","","-1.2","","0.6","","17.4","","0.0","","","","","","0.0","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-08","2023","01","08","","1.8","","0.3","","1.1","","16.9","","0.0","","","","","","2.2","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-09","2023","01","09","","1.7","","-0.6","","0.5","","17.5","","0.0","","","","","","0.3","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-10","2023","01","10","","2.4","","-1.8","","0.3","","17.7","","0.0","","","","","","0.0","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-11","2023","01","11","","-0.1","","-4.7","","-2.4","","20.4","","0.0","","","","","","0.0","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-12","2023","01","12","","2.4","","-0.9","","0.7","","17.3","","0.0","","","","","","4.8","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-13","2023","01","13","","2.6","","1.0","","1.8","","16.2","","0.0","","","","","","2.8","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-14","2023","01","14","","3.4","","1.1","","2.3","","15.7","","0.0","","","","","","0.4","","","","","","",""
"-119.19","50.22","VERNON AUTO","1128582","2023-01-15","2023","01","15","","2.9","","0.9","","1.9","","16.1","","0.0","","","","","","0.3","","","","","","",""
