"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-01","2022","01","01","","-13.8","","-17.2","","-15.5","","33.5","","0.0","","","","","","0.1","","49","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-02","2022","01","02","","-15.9","","-22.5","","-19.2","","37.2","","0.0","","","","","","2.6","","51","","35","","48",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-03","2022","01","03","","-22.3","","-26.9","","-24.6","","42.6","","0.0","","","","","","0.5","","33","","33","","52",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-04","2022","01","04","","-26.8","","-28.9","","-27.9","","45.9","","0.0","","","","","","0.0","","30","","34","","44",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-05","2022","01","05","","-28.7","","-40.3","","-34.5","","52.5","","0.0","","","","","","0.0","","30","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-06","2022","01","06","","-36.4","","-43.5","","-40.0","","58.0","","0.0","","","","","","0.0","","30","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-07","2022","01","07","","-29.5","","-37.3","","-33.4","","51.4","","0.0","","","","","","0.0","","29","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-08","2022","01","08","","-28.7","","-40.5","","-34.6","","52.6","","0.0","","","","","","0.7","","30","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-09","2022","01","09","","-24.4","","-29.5","","-27.0","","45.0","","0.0","","","","","","5.5","","36","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-10","2022","01","10","","-17.4","","-24.8","","-21.1","","39.1","","0.0","","","","","","0.0","","33","","5","","31",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-11","2022","01","11","","-4.1","","-20.5","","-12.3","","30.3","","0.0","","","","","","0.0","","34","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-12","2022","01","12","","","M","","M","","M","","M","","M","","","","","","M","35","","","M","","M"
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-13","2022","01","13","","-8.3","","-13.7","","-11.0","","29.0","","0.0","","","","","","0.0","","34","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-14","2022","01","14","","-5.3","","-13.5","","-9.4","","27.4","","0.0","","","","","","0.0","","33","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-15","2022","01","15","","-1.0","","-7.8","","-4.4","","22.4","","0.0","","","","","","0.6","","27","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-16","2022","01","16","","-3.5","","-11.4","","-7.4","","25.4","","0.0","","","","","","2.9","","30","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-17","2022","01","17","","-3.9","","-13.0","","-8.4","","26.4","","0.0","","","","","","0.0","","35","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-18","2022","01","18","","","M","","M","","M","","M","","M","","","","","","M","37","","","M","","M"
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-19","2022","01","19","","-12.0","","-24.4","","-18.2","","36.2","","0.0","","","","","","8.9","","35","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-20","2022","01","20","","-4.0","","-12.9","","-8.4","","26.4","","0.0","","","","","","26.1","","48","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-21","2022","01","21","","1.9","","-6.3","","-2.2","","20.2","","0.0","","","","","","12.1","","59","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-22","2022","01","22","","2.3","","-3.6","","-0.7","","18.7","","0.0","","","","","","0.1","","55","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-23","2022","01","23","","0.6","","-3.4","","-1.4","","19.4","","0.0","","","","","","2.6","","49","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-24","2022","01","24","","-0.8","","-7.1","","-3.9","","21.9","","0.0","","","","","","0.0","","50","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-25","2022","01","25","","1.3","","-9.6","","-4.1","","22.1","","0.0","","","","","","0.3","","51","","22","","31",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-26","2022","01","26","","-7.0","","-14.0","","-10.5","","28.5","","0.0","","","","","","0.0","","50","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-27","2022","01","27","","-7.5","","-17.6","","-12.5","","30.5","","0.0","","","","","","0.0","","47","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-28","2022","01","28","","-4.6","","-13.0","","-8.8","","26.8","","0.0","","","","","","0.0","","49","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-29","2022","01","29","","5.0","","-5.8","","-0.4","","18.4","","0.0","","","","","","0.2","","50","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-30","2022","01","30","","-1.2","","-11.4","","-6.3","","24.3","","0.0","","","","","","0.3","","48","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-01-31","2022","01","31","","-6.4","","-20.5","","-13.5","","31.5","","0.0","","","","","","0.0","","49","","27","","37",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-01","2022","02","01","","-20.3","","-31.4","","-25.9","","43.9","","0.0","","","","","","0.0","","49","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-02","2022","02","02","","-18.6","","-22.6","","-20.6","","38.6","","0.0","","","","","","9.0","","52","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-03","2022","02","03","","-17.8","","-20.0","","-18.9","","36.9","","0.0","","","","","","8.6","","69","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-04","2022","02","04","","-18.7","","-20.2","","-19.5","","37.5","","0.0","","","","","","1.2","","71","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-05","2022","02","05","","0.3","","-19.5","","-9.6","","27.6","","0.0","","","","","","0.6","","70","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-06","2022","02","06","","4.7","","-6.2","","-0.7","","18.7","","0.0","","","","","","0.0","","67","","20","","44",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-07","2022","02","07","","1.8","","-3.5","","-0.9","","18.9","","0.0","","","","","","1.6","","66","","20","","34",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-08","2022","02","08","","2.1","","-9.5","","-3.7","","21.7","","0.0","","","","","","0.0","","65","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-09","2022","02","09","","1.6","","-5.7","","-2.1","","20.1","","0.0","","","","","","2.7","","63","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-10","2022","02","10","","2.2","","-10.6","","-4.2","","22.2","","0.0","","","","","","0.0","","61","","24","","50",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-11","2022","02","11","","-1.6","","-12.0","","-6.8","","24.8","","0.0","","","","","","0.0","","60","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-12","2022","02","12","","3.7","","-7.1","","-1.7","","19.7","","0.0","","","","","","1.8","","59","","23","","35",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-13","2022","02","13","","-5.0","","-14.1","","-9.6","","27.6","","0.0","","","","","","0.0","","59","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-14","2022","02","14","","-2.3","","-14.8","","-8.5","","26.5","","0.0","","","","","","0.0","","58","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-15","2022","02","15","","-1.9","","-10.7","","-6.3","","24.3","","0.0","","","","","","6.9","","65","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-16","2022","02","16","","2.4","","-9.7","","-3.7","","21.7","","0.0","","","","","","4.4","","74","","25","","39",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2022-02-17","2022","02","17","","2.0","","-3.3","","-0.7","","18.7","","0.0","","","","","","0.3","","74","","23","","33",""
