"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-01","2023","01","01","","-3.3","","-8.8","","-6.1","","24.1","","0.0","","","","","","0.0","","37","","","","",""
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-02","2023","01","02","","-2.9","","-8.9","","-5.9","","23.9","","0.0","","","","","","0.0","","36","","","","",""
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-03","2023","01","03","","-1.4","","-6.5","","-4.0","","22.0","","0.0","","","","","","3.0","","35","","","M","","M"
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-04","2023","01","04","","-2.8","","-11.7","","-7.3","","25.3","","0.0","","","","","","0.0","","37","","","M","","M"
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-05","2023","01","05","","-4.8","","-14.1","","-9.4","","27.4","","0.0","","","","","","3.2","","37","","","M","","M"
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-06","2023","01","06","","-3.4","","-10.3","","-6.9","","24.9","","0.0","","","","","","0.1","","38","","","M","","M"
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-07","2023","01","07","","-1.8","","-11.4","","-6.6","","24.6","","0.0","","","","","","0.0","","37","","","M","","M"
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-08","2023","01","08","","-2.6","","-11.6","","-7.1","","25.1","","0.0","","","","","","0.1","","37","","","M","","M"
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-09","2023","01","09","","0.4","","-4.6","","-2.1","","20.1","","0.0","","","","","","0.1","","36","","","M","","M"
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-10","2023","01","10","","0.5","","-2.9","","-1.2","","19.2","","0.0","","","","","","1.1","","36","","","","",""
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-11","2023","01","11","","0.0","","-2.2","","-1.1","","19.1","","0.0","","","","","","0.0","","37","","","","",""
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-12","2023","01","12","","-0.9","","-4.5","","-2.7","","20.7","","0.0","","","","","","0.9","","36","","","","",""
"-125.96","54.38","BURNS LAKE DECKER LAKE","1091174","2023-01-13","2023","01","13","","1.1","","-3.5","","-1.2","","19.2","","0.0","","","","","","5.3","","36","","","","",""
