"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-128.62","54.50","TERRACE PCC","1068131","2012-01-01","2012","01","01","†","0.0","","-4.5","","-2.3","","20.3","","0.0","","0.0","","24.0","","24.0","","34","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-02","2012","01","02","†","1.5","","-2.5","","-0.5","","18.5","","0.0","","6.0","","0.0","","6.0","","51","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-03","2012","01","03","†","3.0","","0.0","","1.5","","16.5","","0.0","","43.6","","0.0","","43.6","","45","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-04","2012","01","04","†","6.5","","0.5","","3.5","","14.5","","0.0","","10.6","","0.0","","10.6","","38","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-05","2012","01","05","†","3.5","","2.0","","2.8","","15.2","","0.0","","0.0","","1.0","","1.0","","31","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-06","2012","01","06","†","3.0","","-1.0","","1.0","","17.0","","0.0","","3.0","","0.0","T","3.0","","29","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-07","2012","01","07","†","6.0","","0.5","","3.3","","14.7","","0.0","","9.2","","0.0","","9.2","","28","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-08","2012","01","08","†","6.5","","1.0","","3.8","","14.2","","0.0","","15.8","","0.0","T","15.8","","26","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-09","2012","01","09","†","3.0","","0.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-10","2012","01","10","†","-0.5","","-6.5","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-11","2012","01","11","†","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"-128.62","54.50","TERRACE PCC","1068131","2012-01-12","2012","01","12","†","3.5","","-6.0","","-1.3","","19.3","","0.0","","1.0","","3.0","","4.0","","24","","","","",""
