Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-120.18,55.74,DAWSON CREEK A,1182285,1/1/2009,2009,1,1,,-26,,-34.7,,-30.4,,48.4,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/2/2009,2009,1,2,,-32.8,,-42,,-37.4,,55.4,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/3/2009,2009,1,3,,-28.4,,-37.8,,-33.1,,51.1,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/4/2009,2009,1,4,,-17.4,,-31.2,,-24.3,,42.3,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/5/2009,2009,1,5,,-12.7,,-25.9,,-19.3,,37.3,,0,,,M,,M,,M,,,32,,35,
-120.18,55.74,DAWSON CREEK A,1182285,1/6/2009,2009,1,6,,-24.5,,-32.7,,-28.6,,46.6,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/7/2009,2009,1,7,,-24.4,,-25.6,,-25,,43,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/8/2009,2009,1,8,,-23.4,,-38.8,,-31.1,,49.1,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/9/2009,2009,1,9,,-16.6,,-38.1,,-27.4,,45.4,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/10/2009,2009,1,10,,2,,-19.9,,-9,,27,,0,,,M,,M,,M,,,25,,50,
-120.18,55.74,DAWSON CREEK A,1182285,1/11/2009,2009,1,11,,-15.9,,-27.1,,-21.5,,39.5,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/12/2009,2009,1,12,,4.4,,-26.4,,-11,,29,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/13/2009,2009,1,13,,6.2,,-14.8,,-4.3,,22.3,,0,,,M,,M,,M,,,27,,57,
-120.18,55.74,DAWSON CREEK A,1182285,1/14/2009,2009,1,14,,-12.2,,-16.6,,-14.4,,32.4,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/15/2009,2009,1,15,,9,,-17.4,,-4.2,,22.2,,0,,,M,,M,,M,,,28,,46,
-120.18,55.74,DAWSON CREEK A,1182285,1/16/2009,2009,1,16,,7.7,,-7.9,,-0.1,,18.1,,0,,,M,,M,,M,,,27,,56,
-120.18,55.74,DAWSON CREEK A,1182285,1/17/2009,2009,1,17,,11.4,,-11.4,,0,,18,,0,,,M,,M,,M,,,26,,44,
-120.18,55.74,DAWSON CREEK A,1182285,1/18/2009,2009,1,18,,5.1,,-11.2,,-3.1,,21.1,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/19/2009,2009,1,19,,9.7,,-15.9,,-3.1,,21.1,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/20/2009,2009,1,20,,-0.1,,-13.6,,-6.9,,24.9,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/21/2009,2009,1,21,,-5.3,,-17.3,,-11.3,,29.3,,0,,,M,,M,,M,,,33,,46,
-120.18,55.74,DAWSON CREEK A,1182285,1/22/2009,2009,1,22,,-17.2,,-29.5,,-23.4,,41.4,,0,,,M,,M,,M,,,31,,33,
-120.18,55.74,DAWSON CREEK A,1182285,1/23/2009,2009,1,23,,-25,,-37.2,,-31.1,,49.1,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/24/2009,2009,1,24,,-25.8,,-40.2,,-33,,51,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/25/2009,2009,1,25,,-16.8,,-29.5,,-23.2,,41.2,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/26/2009,2009,1,26,,-3.3,,-30.2,,-16.8,,34.8,,0,,,M,,M,,M,,,,,<31,
-120.18,55.74,DAWSON CREEK A,1182285,1/27/2009,2009,1,27,,1.5,,-8.2,,-3.4,,21.4,,0,,,M,,M,,M,,,27,,48,
-120.18,55.74,DAWSON CREEK A,1182285,1/28/2009,2009,1,28,,1.1,,-16,,-7.5,,25.5,,0,,,M,,M,,M,,,27,,50,
-120.18,55.74,DAWSON CREEK A,1182285,1/29/2009,2009,1,29,,7.9,,-1.4,,3.3,,14.7,,0,,,M,,M,,M,,,3,,69,
