"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-01","2020","01","01","","4.0","","-10.5","","-3.3","","21.3","","0.0","","","","","","0.0","","","","23","","61",""
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-02","2020","01","02","","1.9","","-11.6","","-4.9","","22.9","","0.0","","","","","","0.0","","","","26","","84",""
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-03","2020","01","03","","-7.7","","-11.6","","-9.7","","27.7","","0.0","","","","","","3.6","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-04","2020","01","04","","0.4","","-21.9","","-10.8","","28.8","","0.0","","","","","","0.7","","","","24","","58",""
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-05","2020","01","05","","1.9","","-22.4","","-10.3","","28.3","","0.0","","","","","","0.0","","","","25","","58",""
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-06","2020","01","06","","-19.1","","-26.0","","-22.6","","40.6","","0.0","","","","","","0.0","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-07","2020","01","07","","-20.3","","-28.0","","-24.2","","42.2","","0.0","","","","","","0.6","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-08","2020","01","08","","-19.4","","-28.5","","-24.0","","42.0","","0.0","","","","","","","M","","","29","","33",""
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-09","2020","01","09","","-21.6","","-24.6","","-23.1","","41.1","","0.0","","","","","","0.0","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-10","2020","01","10","","-22.9","","-24.0","","-23.5","","41.5","","0.0","","","","","","3.6","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-11","2020","01","11","","-23.7","","-26.4","","-25.1","","43.1","","0.0","","","","","","4.0","","","","30","","37",""
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-12","2020","01","12","","-25.1","","-33.9","","-29.5","","47.5","","0.0","","","","","","0.0","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-13","2020","01","13","","-27.2","","-41.4","","-34.3","","52.3","","0.0","","","","","","0.3","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-14","2020","01","14","","-26.7","","-29.6","","-28.2","","46.2","","0.0","","","","","","0.0","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-15","2020","01","15","","-28.9","","-41.0","","-35.0","","53.0","","0.0","","","","","","0.0","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-16","2020","01","16","","-28.6","","-39.1","","-33.9","","51.9","","0.0","","","","","","0.9","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-17","2020","01","17","","-25.7","","-36.2","","-31.0","","49.0","","0.0","","","","","","1.2","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-18","2020","01","18","","-26.1","","-38.2","","-32.2","","50.2","","0.0","","","","","","0.7","","","","","M","","M"
"-120.18","55.74","DAWSON CREEK A","1182289","2020-01-19","2020","01","19","","-18.9","","-29.5","","-24.2","","42.2","","0.0","","","","","","0.1","","","","","M","","M"
