Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-122.6,58.84,FORT NELSON A,1192946,1/1/2012,2012,1,1,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/2/2012,2012,1,2,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/3/2012,2012,1,3,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/4/2012,2012,1,4,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/5/2012,2012,1,5,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/6/2012,2012,1,6,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/7/2012,2012,1,7,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/8/2012,2012,1,8,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/9/2012,2012,1,9,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/10/2012,2012,1,10,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/11/2012,2012,1,11,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/12/2012,2012,1,12,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/13/2012,2012,1,13,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/14/2012,2012,1,14,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/15/2012,2012,1,15,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/16/2012,2012,1,16,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/17/2012,2012,1,17,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/18/2012,2012,1,18,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/19/2012,2012,1,19,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/20/2012,2012,1,20,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/21/2012,2012,1,21,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/22/2012,2012,1,22,,,,,,,,,,,,,,,,,,,,,,,
-122.6,58.84,FORT NELSON A,1192946,1/23/2012,2012,1,23,,,,,,,,,,,,,,,,,,,,,,,
