"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-01","2020","01","01","","-1.0","","-9.8","","-5.4","","23.4","","0.0","","0.0","","0.0","T","0.0","T","9","","22","","33",""
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-02","2020","01","02","","0.5","","-9.1","","-4.3","","22.3","","0.0","","0.0","","2.8","","2.8","","11","","24","","63",""
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-03","2020","01","03","","-8.0","","-12.7","","-10.4","","28.4","","0.0","","0.0","","7.6","","7.6","","11","","","M","","M"
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-04","2020","01","04","","-7.7","","-21.9","","-14.8","","32.8","","0.0","","0.0","","0.8","","0.8","","15","","35","","59",""
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-05","2020","01","05","","-3.9","","-21.8","","-12.9","","30.9","","0.0","","0.0","","0.0","T","0.0","T","15","","35","","63",""
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-06","2020","01","06","","-19.4","","-24.9","","-22.2","","40.2","","0.0","","0.0","","0.0","T","0.0","T","15","","","M","","M"
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-07","2020","01","07","","-23.3","","-27.7","","-25.5","","43.5","","0.0","","0.0","","0.0","T","0.0","T","15","","","M","","M"
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-08","2020","01","08","","-21.9","","-24.9","","-23.4","","41.4","","0.0","","0.0","","2.8","","2.8","","15","","34","","46",""
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-09","2020","01","09","","-22.9","","-26.3","","-24.6","","42.6","","0.0","","0.0","","0.8","","0.8","","19","","","","","M"
"-120.74","56.24","FORT ST. JOHN A","1183001","2020-01-10","2020","01","10","","-24.8","","-26.9","","-25.9","","43.9","","0.0","","0.0","","7.6","","7.6","","19","","34","","32",""
