"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.13","55.30","MACKENZIE","1184791","2019-01-01","2019","01","01","","0.2","","-5.0","","-2.4","","20.4","","0.0","","","","","","0.0","","","","16","","52",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-02","2019","01","02","","1.9","","-2.3","","-0.2","","18.2","","0.0","","","","","","0.0","","","","16","","48",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-03","2019","01","03","","0.1","","-16.8","","-8.4","","26.4","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-04","2019","01","04","","-5.9","","-8.4","","-7.2","","25.2","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-05","2019","01","05","","-2.1","","-7.7","","-4.9","","22.9","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-06","2019","01","06","","-4.4","","-14.5","","-9.5","","27.5","","0.0","","","","","","0.0","","","","4","","39",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-07","2019","01","07","","-14.5","","-26.1","","-20.3","","38.3","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-08","2019","01","08","","-13.0","","-27.4","","-20.2","","38.2","","0.0","","","","","","0.0","","","","33","","32",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-09","2019","01","09","","-9.2","","-13.2","","-11.2","","29.2","","0.0","","","","","","0.0","","","","1","","42",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-10","2019","01","10","","-0.1","","-10.4","","-5.3","","23.3","","0.0","","","","","","0.0","","","","36","","41",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-11","2019","01","11","","3.1","","-0.9","","1.1","","16.9","","0.0","","","","","","0.0","","","","17","","32",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-12","2019","01","12","","3.0","","0.3","","1.7","","16.3","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-13","2019","01","13","","2.1","","-2.3","","-0.1","","18.1","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-14","2019","01","14","","","M","","M","","M","","M","","M","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-15","2019","01","15","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-16","2019","01","16","","","M","","M","","M","","M","","M","","","","","4.3","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-17","2019","01","17","","-12.2","","-17.6","","-14.9","","32.9","","0.0","","","","","","0.0","","","","1","","39",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-18","2019","01","18","","-9.7","","-13.4","","-11.6","","29.6","","0.0","","","","","","1.7","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-19","2019","01","19","","2.1","","-9.7","","-3.8","","21.8","","0.0","","","","","","5.0","","","","15","","35",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-20","2019","01","20","","2.0","","-7.0","","-2.5","","20.5","","0.0","","","","","","0.2","","","","15","","46",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-21","2019","01","21","","-1.0","","-14.8","","-7.9","","25.9","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-22","2019","01","22","","-0.9","","-5.4","","-3.2","","21.2","","0.0","","","","","","2.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-23","2019","01","23","","-1.9","","-8.6","","-5.3","","23.3","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-24","2019","01","24","","-1.4","","-7.0","","-4.2","","22.2","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-25","2019","01","25","","1.4","","-9.5","","-4.1","","22.1","","0.0","","","","","","3.2","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-26","2019","01","26","","5.6","","0.8","","3.2","","14.8","","0.0","","","","","","0.0","","","","15","","50",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-27","2019","01","27","","5.8","","-11.2","","-2.7","","20.7","","0.0","","","","","","0.0","","","","34","","45",""
"-123.13","55.30","MACKENZIE","1184791","2019-01-28","2019","01","28","","-7.2","","-16.8","","-12.0","","30.0","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-29","2019","01","29","","-9.3","","-16.1","","-12.7","","30.7","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-30","2019","01","30","","-1.8","","-9.3","","-5.6","","23.6","","0.0","","","","","","0.2","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-01-31","2019","01","31","","-0.2","","-14.8","","-7.5","","25.5","","0.0","","","","","","4.9","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-02-01","2019","02","01","","-14.8","","-22.4","","-18.6","","36.6","","0.0","","","","","","4.1","","","","3","","41",""
"-123.13","55.30","MACKENZIE","1184791","2019-02-02","2019","02","02","","-22.3","","-27.3","","-24.8","","42.8","","0.0","","","","","","0.0","","","","4","","41",""
"-123.13","55.30","MACKENZIE","1184791","2019-02-03","2019","02","03","","-20.7","","-25.0","","-22.9","","40.9","","0.0","","","","","","0.0","","","","31","","58",""
"-123.13","55.30","MACKENZIE","1184791","2019-02-04","2019","02","04","","-19.9","","-29.0","","-24.5","","42.5","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-02-05","2019","02","05","","-17.1","","-30.6","","-23.9","","41.9","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-02-06","2019","02","06","","-16.6","","-33.1","","-24.9","","42.9","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-02-07","2019","02","07","","-12.4","","-19.0","","-15.7","","33.7","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-02-08","2019","02","08","","-13.4","","-23.5","","-18.5","","36.5","","0.0","","","","","","0.0","","","","5","","52",""
"-123.13","55.30","MACKENZIE","1184791","2019-02-09","2019","02","09","","-17.3","","-29.2","","-23.3","","41.3","","0.0","","","","","","0.0","","","","35","","37",""
"-123.13","55.30","MACKENZIE","1184791","2019-02-10","2019","02","10","","-9.1","","-22.8","","-16.0","","34.0","","0.0","","","","","","0.1","","","","3","","54",""
"-123.13","55.30","MACKENZIE","1184791","2019-02-11","2019","02","11","","-8.8","","-20.0","","-14.4","","32.4","","0.0","","","","","","0.0","","","","3","","50",""
"-123.13","55.30","MACKENZIE","1184791","2019-02-12","2019","02","12","","-10.9","","-25.5","","-18.2","","36.2","","0.0","","","","","","0.0","","","","","M","","M"
"-123.13","55.30","MACKENZIE","1184791","2019-02-13","2019","02","13","","-11.6","","-32.3","","-22.0","","40.0","","0.0","","","","","","0.0","","","","","M","","M"
