"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-01","2009","01","01","†","-4.9","","-9.7","","-7.3","","25.3","","0.0","","0.0","","2.6","","2.0","","68","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-02","2009","01","02","†","-10.6","","-22.6","","-16.6","","34.6","","0.0","","0.0","","0.4","","0.2","","68","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-03","2009","01","03","†","-15.2","","-28.8","","-22.0","","40.0","","0.0","","0.0","","2.4","","1.2","","66","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-04","2009","01","04","†","-7.3","","-17.4","","-12.4","","30.4","","0.0","","0.0","","20.2","","15.8","","62","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-05","2009","01","05","†","-4.3","","-12.4","","-8.4","","26.4","","0.0","","0.0","","5.6","","2.0","","77","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-06","2009","01","06","†","-3.0","","-8.3","","-5.7","","23.7","","0.0","","0.0","","28.4","","27.2","","78","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-07","2009","01","07","†","0.5","","-4.6","","-2.1","","20.1","","0.0","","2.4","","7.4","","9.6","","98","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-08","2009","01","08","†","2.0","","-0.5","","0.8","","17.2","","0.0","","0.4","","0.0","","0.4","","98","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-09","2009","01","09","†","-4.4","","-14.4","","-9.4","","27.4","","0.0","","0.0","","17.1","","14.2","","90","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-10","2009","01","10","†","-1.0","","-8.2","","-4.6","","22.6","","0.0","","0.0","","6.2","","5.2","","102","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-11","2009","01","11","†","3.9","","-3.7","","0.1","","17.9","","0.0","","0.0","","0.5","","0.4","","108","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-12","2009","01","12","†","-0.2","","-8.0","","-4.1","","22.1","","0.0","","0.0","","4.9","","3.6","","103","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-13","2009","01","13","†","1.0","","-3.8","","-1.4","","19.4","","0.0","","0.0","","1.6","","1.0","","102","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-14","2009","01","14","†","2.0","","-3.3","","-0.7","","18.7","","0.0","","0.0","","0.6","","0.4","","98","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-15","2009","01","15","†","3.1","","-0.7","","1.2","","16.8","","0.0","","0.0","","0.0","T","0.0","","96","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-16","2009","01","16","†","1.6","","-1.2","","0.2","","17.8","","0.0","","0.0","","0.4","","0.0","","90","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-17","2009","01","17","†","-2.7","","-4.2","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","88","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-18","2009","01","18","†","-3.6","","-8.2","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","88","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-19","2009","01","19","†","-3.3","","-16.2","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","85","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-20","2009","01","20","†","-3.0","","-17.7","","-10.4","","28.4","","0.0","","0.0","","0.0","","0.0","","85","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-21","2009","01","21","†","-7.1","","-14.8","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","85","","","","",""
"-119.29","52.13","BLUE RIVER A","1160899","2009-01-22","2009","01","22","†","-1.4","","-11.6","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","","82","","","","",""
