"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-01","2023","01","01","","-0.8","","-6.0","","-3.4","","21.4","","0.0","","","","","","0.1","","17","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-02","2023","01","02","","-1.2","","-8.3","","-4.8","","22.8","","0.0","","","","","","0.0","","17","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-03","2023","01","03","","-2.7","","-5.5","","-4.1","","22.1","","0.0","","","","","","0.6","","17","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-04","2023","01","04","","-4.1","","-15.3","","-9.7","","27.7","","0.0","","","","","","0.0","","18","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-05","2023","01","05","","-3.7","","-15.1","","-9.4","","27.4","","0.0","","","","","","3.5","","17","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-06","2023","01","06","","3.1","","-9.8","","-3.3","","21.3","","0.0","","","","","","0.0","","20","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-07","2023","01","07","","4.1","","-11.3","","-3.6","","21.6","","0.0","","","","","","0.0","","21","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-08","2023","01","08","","-1.2","","-10.0","","-5.6","","23.6","","0.0","","","","","","1.3","","21","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-09","2023","01","09","","0.4","","-4.6","","-2.1","","20.1","","0.0","","","","","","1.3","","23","","","M","","M"
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-10","2023","01","10","","1.1","","-1.2","","-0.1","","18.1","","0.0","","","","","","0.7","","23","","","M","","M"
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-11","2023","01","11","","0.0","","-8.3","","-4.1","","22.1","","0.0","","","","","","0.0","","22","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-12","2023","01","12","","1.6","","-12.6","","-5.5","","23.5","","0.0","","","","","","0.4","","22","","","","",""
"-124.29","54.46","FORT ST JAMES AUTO","1092975","2023-01-13","2023","01","13","","4.4","","-3.3","","0.6","","17.4","","0.0","","","","","","7.6","","22","","","","",""
