"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-01","2009","01","01","†","-2.4","","-9.1","","-5.8","","23.8","","0.0","","0.0","","8.8","","6.6","","55","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-02","2009","01","02","†","-0.8","","-5.7","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-03","2009","01","03","†","-9.4","","-19.4","","-14.4","","32.4","","0.0","","0.0","","4.2","","2.4","","54","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-04","2009","01","04","†","-6.0","","-12.9","","-9.5","","27.5","","0.0","","0.0","","19.6","","14.0","","57","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-05","2009","01","05","†","-1.3","","-7.7","","-4.5","","22.5","","0.0","","0.0","","0.4","","0.4","","75","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-06","2009","01","06","†","1.1","","-3.8","","-1.4","","19.4","","0.0","","1.8","","21.6","","23.4","","66","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-07","2009","01","07","†","5.1","","-2.1","","1.5","","16.5","","0.0","","2.8","","0.0","","2.8","","76","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-08","2009","01","08","†","5.1","","1.7","","3.4","","14.6","","0.0","","1.0","","0.0","","1.0","","56","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-09","2009","01","09","†","0.8","","-5.7","","-2.5","","20.5","","0.0","","0.0","","0.4","","0.4","","49","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-10","2009","01","10","†","1.5","","-0.9","","0.3","","17.7","","0.0","","0.2","","0.8","","1.2","","49","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-11","2009","01","11","†","4.0","","-0.9","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-12","2009","01","12","†","3.0","","-1.6","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-13","2009","01","13","†","3.3","","0.7","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-14","2009","01","14","†","2.7","","0.1","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-117.63","49.30","CASTLEGAR A","1141455","2009-01-15","2009","01","15","†","4.0","","-1.5","","1.3","","16.7","","0.0","","0.0","T","0.0","","0.0","T","42","","","","",""
