"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.77","49.00","MIDWAY","1135126","2022-01-01","2022","01","01","†","-16.0","","-24.0","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-02","2022","01","02","†","-8.0","","-23.0","","-15.5","","33.5","","0.0","","0.0","","20.0","","20.0","","23","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-03","2022","01","03","†","0.0","","-24.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-04","2022","01","04","†","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","5.0","","5.0","","40","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-05","2022","01","05","†","-3.5","","-12.0","","-7.8","","25.8","","0.0","","0.0","","27.0","","27.0","","45","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-06","2022","01","06","†","-3.5","","-10.5","","-7.0","","25.0","","0.0","","0.0","","2.0","","2.0","","54","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-07","2022","01","07","†","-1.0","","-6.5","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-08","2022","01","08","†","-5.5","","-17.5","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-09","2022","01","09","†","-4.5","","-16.0","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-10","2022","01","10","†","-6.0","","-18.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-11","2022","01","11","†","0.5","","-12.0","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-12","2022","01","12","†","2.0","","-2.0","","0.0","","18.0","","0.0","","0.0","T","0.0","","0.0","T","40","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-13","2022","01","13","†","3.5","","-0.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-14","2022","01","14","†","3.0","","0.5","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-15","2022","01","15","†","4.0","","0.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-16","2022","01","16","†","3.0","","0.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-17","2022","01","17","†","4.5","","-0.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-18","2022","01","18","†","3.0","","-1.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-19","2022","01","19","†","4.0","","-2.0","","1.0","","17.0","","0.0","","0.0","","3.0","","3.0","","26","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-20","2022","01","20","†","2.0","","0.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-21","2022","01","21","†","0.5","","-1.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-22","2022","01","22","†","1.0","","-2.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-23","2022","01","23","†","-1.0","","-5.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-24","2022","01","24","†","1.5","","-6.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-25","2022","01","25","†","-2.0","","-10.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-26","2022","01","26","†","0.0","","-6.5","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-27","2022","01","27","†","-2.0","","-10.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-28","2022","01","28","†","-2.0","","-7.5","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-29","2022","01","29","†","-3.5","","-9.5","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-30","2022","01","30","†","-0.5","","-6.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-01-31","2022","01","31","†","3.5","","-4.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-01","2022","02","01","†","3.0","","-11.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-02","2022","02","02","†","-5.5","","-14.0","","-9.8","","27.8","","0.0","","0.0","","2.0","","2.0","","26","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-03","2022","02","03","†","-1.5","","-12.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-04","2022","02","04","†","-3.0","","-9.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-05","2022","02","05","†","2.5","","-8.5","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-06","2022","02","06","†","3.0","","-7.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-07","2022","02","07","†","5.0","","-7.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-08","2022","02","08","†","5.0","","-8.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-09","2022","02","09","†","5.5","","-7.5","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-10","2022","02","10","†","6.5","","-6.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-11","2022","02","11","†","8.5","","-11.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-12","2022","02","12","†","4.5","","-13.5","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-13","2022","02","13","†","4.5","","-13.5","","-4.5","","22.5","","0.0","","0.0","","3.0","","3.0","","24","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-14","2022","02","14","†","0.0","","-7.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-15","2022","02","15","†","11.5","","-5.0","","3.3","","14.7","","0.0","","0.0","T","0.0","T","0.0","T","27","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-16","2022","02","16","†","8.5","","-2.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-17","2022","02","17","†","5.0","","-5.5","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-118.77","49.00","MIDWAY","1135126","2022-02-18","2022","02","18","†","8.0","","-7.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
