"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-01","2020","01","01","","-0.6","","-8.4","","-4.5","","22.5","","0.0","","0.0","","5.8","","5.8","","11","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-02","2020","01","02","","1.0","","-7.9","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","T","11","","24","","48",""
"-115.78","49.61","CRANBROOK A","1152105","2020-01-03","2020","01","03","","3.4","","-6.0","","-1.3","","19.3","","0.0","","0.0","","0.6","","0.6","","12","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-04","2020","01","04","","3.9","","-3.9","","0.0","","18.0","","0.0","","0.2","","0.6","","0.8","","13","","23","","54",""
"-115.78","49.61","CRANBROOK A","1152105","2020-01-05","2020","01","05","","2.4","","-6.7","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","10","E","17","","41",""
"-115.78","49.61","CRANBROOK A","1152105","2020-01-06","2020","01","06","","-0.3","","-5.0","","-2.7","","20.7","","0.0","","0.0","","0.2","","0.2","","10","","25","","35",""
"-115.78","49.61","CRANBROOK A","1152105","2020-01-07","2020","01","07","","1.9","","-3.6","","-0.9","","18.9","","0.0","","0.0","","1.5","","1.5","","10","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-08","2020","01","08","","3.7","","-2.1","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.0","T","9","","15","","39",""
"-115.78","49.61","CRANBROOK A","1152105","2020-01-09","2020","01","09","","-1.4","","-15.5","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","11","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-10","2020","01","10","","-5.6","","-19.0","","-12.3","","30.3","","0.0","","0.0","","1.2","","1.0","","11","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-11","2020","01","11","","-3.7","","-8.3","","-6.0","","24.0","","0.0","","0.0","","1.8","","1.0","","13","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-12","2020","01","12","","-0.9","","-8.5","","-4.7","","22.7","","0.0","","0.3","","0.0","T","0.3","","13","","14","","39",""
"-115.78","49.61","CRANBROOK A","1152105","2020-01-13","2020","01","13","","-4.9","","-16.8","","-10.9","","28.9","","0.0","","0.0","","3.8","","2.2","","14","","8","","35",""
"-115.78","49.61","CRANBROOK A","1152105","2020-01-14","2020","01","14","","-16.7","","-21.3","","-19.0","","37.0","","0.0","","0.0","","0.4","","0.4","","15","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-15","2020","01","15","","","M","","M","","M","","M","","M","0.0","","1.0","","0.0","T","17","E","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-16","2020","01","16","","-10.0","","-16.6","","-13.3","","31.3","","0.0","","0.0","","11.0","","4.0","","20","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-17","2020","01","17","","-8.3","","-19.4","","-13.9","","31.9","","0.0","","0.0","","0.0","T","0.0","T","26","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-18","2020","01","18","","-8.8","","-21.2","","-15.0","","33.0","","0.0","","0.0","","0.2","","0.2","","26","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-19","2020","01","19","","-3.5","","-9.1","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","24","","","M","","M"
"-115.78","49.61","CRANBROOK A","1152105","2020-01-20","2020","01","20","","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","23","","","M","","M"
