"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-01","2011","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-02","2011","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-03","2011","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-04","2011","01","04","†","-10.0","","-14.5","","-12.3","","30.3","","0.0","","0.0","","1.0","","1.0","","21","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-05","2011","01","05","†","-6.0","","-13.0","","-9.5","","27.5","","0.0","","0.0","","8.8","","8.8","","22","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-06","2011","01","06","†","-2.5","","-9.0","","-5.8","","23.8","","0.0","","0.0","","2.4","","2.4","","28","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-07","2011","01","07","†","1.5","","-4.0","","-1.3","","19.3","","0.0","","0.0","T","2.6","","2.6","","28","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-08","2011","01","08","†","-1.0","","-3.0","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","T","28","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-09","2011","01","09","†","-8.0","","-8.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-10","2011","01","10","†","-12.0","","-17.0","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-11","2011","01","11","†","-15.5","","-24.0","","-19.8","","37.8","","0.0","","0.0","","2.0","","2.0","","28","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-12","2011","01","12","†","-12.5","","-18.5","","-15.5","","33.5","","0.0","","0.0","","10.4","","10.4","","29","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-13","2011","01","13","†","-4.5","","-14.0","","-9.3","","27.3","","0.0","","0.0","","7.6","","7.6","","36","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-14","2011","01","14","†","-7.5","","-10.0","","-8.8","","26.8","","0.0","","0.0","","5.6","","5.6","","40","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-15","2011","01","15","†","1.5","","-9.0","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","42","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-16","2011","01","16","†","3.5","","-4.5","","-0.5","","18.5","","0.0","","16.4","","0.0","","16.4","","41","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-17","2011","01","17","†","4.0","","-0.5","","1.8","","16.2","","0.0","","0.0","T","0.0","T","0.0","T","32","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-18","2011","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-19","2011","01","19","†","-7.0","","-15.5","","-11.3","","29.3","","0.0","","0.0","","0.4","","0.4","","25","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-20","2011","01","20","†","-4.0","","-11.0","","-7.5","","25.5","","0.0","","0.0","","1.0","","1.0","","25","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-21","2011","01","21","†","-4.0","","-11.0","","-7.5","","25.5","","0.0","","0.0","","1.4","","1.4","","25","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-22","2011","01","22","†","-2.5","","-8.0","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-23","2011","01","23","†","1.5","","-5.5","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-24","2011","01","24","†","-0.5","","-10.0","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-25","2011","01","25","†","0.5","","-4.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-26","2011","01","26","†","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-27","2011","01","27","†","4.0","","-8.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-28","2011","01","28","†","3.5","","-1.0","","1.3","","16.7","","0.0","","0.0","","4.0","","4.0","","27","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-29","2011","01","29","†","-2.0","","-4.0","","-3.0","","21.0","","0.0","","0.0","","6.0","","6.0","","29","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-30","2011","01","30","†","-8.5","","-12.5","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-01-31","2011","01","31","†","-13.5","","-22.5","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-02-01","2011","02","01","†","-15.5","","-25.0","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-02-02","2011","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-02-03","2011","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-02-04","2011","02","04","†","-1.0","","-18.5","","-9.8","","27.8","","0.0","","0.0","","5.0","","5.0","","30","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-02-05","2011","02","05","†","15.0","","-6.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-02-06","2011","02","06","†","-3.5","","-10.0","","-6.8","","24.8","","0.0","","0.0","","3.0","","3.0","","34","","","","",""
"-116.06","50.63","KOOTENAY NP WEST GATE","1154410","2011-02-07","2011","02","07","†","-2.5","","-4.5","","-3.5","","21.5","","0.0","","0.0","","1.0","","1.0","","36","","","","",""
