"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.31","49.49","NELSON CS","1145M29","2022-01-01","2022","01","01","","-9.6","","-14.3","","-11.9","","29.9","","0.0","","","","","","0.0","","22","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-02","2022","01","02","","-5.1","","-14.1","","-9.6","","27.6","","0.0","","","","","","1.8","","22","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-03","2022","01","03","","0.1","","-5.4","","-2.7","","20.7","","0.0","","","","","","0.4","","54","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-04","2022","01","04","","-0.5","","-5.3","","-2.9","","20.9","","0.0","","","","","","0.6","","67","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-05","2022","01","05","","-1.7","","-6.6","","-4.2","","22.2","","0.0","","","","","","0.9","","58","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-06","2022","01","06","","-4.5","","-6.2","","-5.4","","23.4","","0.0","","","","","","0.0","","53","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-07","2022","01","07","","1.7","","-4.6","","-1.5","","19.5","","0.0","","","","","","0.3","","64","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-08","2022","01","08","","0.1","","-7.7","","-3.8","","21.8","","0.0","","","","","","3.8","","58","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-09","2022","01","09","","5.6","","-6.0","","-0.2","","18.2","","0.0","","","","","","11.8","","55","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-10","2022","01","10","","3.7","","-6.4","","-1.4","","19.4","","0.0","","","","","","0.0","","51","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-11","2022","01","11","","2.7","","-0.9","","0.9","","17.1","","0.0","","","","","","11.4","","48","","28","","36",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-12","2022","01","12","","2.2","","0.5","","1.3","","16.7","","0.0","","","","","","13.1","","44","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-13","2022","01","13","","3.9","","1.1","","2.5","","15.5","","0.0","","","","","","0.0","","39","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-14","2022","01","14","","3.8","","1.3","","2.6","","15.4","","0.0","","","","","","0.3","","35","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-15","2022","01","15","","4.9","","1.2","","3.0","","15.0","","0.0","","","","","","1.8","","32","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-16","2022","01","16","","4.3","","0.8","","2.6","","15.4","","0.0","","","","","","0.0","","27","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-17","2022","01","17","","4.2","","2.2","","3.2","","14.8","","0.0","","","","","","0.0","","22","","28","","40",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-18","2022","01","18","","4.4","","-0.4","","2.0","","16.0","","0.0","","","","","","0.0","","19","","26","","32",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-19","2022","01","19","","2.7","","-1.2","","0.8","","17.2","","0.0","","","","","","0.0","","17","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-20","2022","01","20","","3.1","","-0.5","","1.3","","16.7","","0.0","","","","","","11.7","","18","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-21","2022","01","21","","2.4","","-0.3","","1.1","","16.9","","0.0","","","","","","0.2","","22","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-22","2022","01","22","","4.0","","-0.6","","1.7","","16.3","","0.0","","","","","","0.0","","21","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-23","2022","01","23","","0.8","","-0.6","","0.1","","17.9","","0.0","","","","","","0.0","","21","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-24","2022","01","24","","5.5","","-3.5","","1.0","","17.0","","0.0","","","","","","0.0","","21","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-25","2022","01","25","","0.7","","-3.3","","-1.3","","19.3","","0.0","","","","","","0.0","","20","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-26","2022","01","26","","0.7","","-2.1","","-0.7","","18.7","","0.0","","","","","","0.0","","21","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-27","2022","01","27","","2.0","","-2.3","","-0.1","","18.1","","0.0","","","","","","0.0","","20","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-28","2022","01","28","","2.0","","-5.4","","-1.7","","19.7","","0.0","","","","","","0.2","","20","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-29","2022","01","29","","2.0","","-6.7","","-2.4","","20.4","","0.0","","","","","","0.0","","20","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-30","2022","01","30","","0.1","","-2.1","","-1.0","","19.0","","0.0","","","","","","3.7","","20","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-01-31","2022","01","31","","5.8","","-5.2","","0.3","","17.7","","0.0","","","","","","1.2","","25","","19","","34",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-01","2022","02","01","","3.3","","-5.4","","-1.1","","19.1","","0.0","","","","","","0.0","","24","","25","","33",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-02","2022","02","02","","-2.9","","-11.1","","-7.0","","25.0","","0.0","","","","","","0.4","","24","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-03","2022","02","03","","-1.4","","-8.7","","-5.1","","23.1","","0.0","","","","","","0.2","","24","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-04","2022","02","04","","0.9","","-3.5","","-1.3","","19.3","","0.0","","","","","","1.2","","24","","28","","31",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-05","2022","02","05","","6.9","","-0.9","","3.0","","15.0","","0.0","","","","","","0.2","","28","","28","","37",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-06","2022","02","06","","7.4","","-2.7","","2.3","","15.7","","0.0","","","","","","0.0","","26","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-07","2022","02","07","","9.6","","-2.6","","3.5","","14.5","","0.0","","","","","","0.0","","25","","29","","33",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-08","2022","02","08","","6.5","","-0.9","","2.8","","15.2","","0.0","","","","","","0.0","","23","","28","","32",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-09","2022","02","09","","7.0","","1.8","","4.4","","13.6","","0.0","","","","","","0.0","","21","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-10","2022","02","10","","9.7","","0.7","","5.2","","12.8","","0.0","","","","","","0.2","","18","","28","","35",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-11","2022","02","11","","11.2","","-3.2","","4.0","","14.0","","0.0","","","","","","0.2","","14","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-12","2022","02","12","","8.1","","-3.8","","2.1","","15.9","","0.0","","","","","","0.0","","13","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-13","2022","02","13","","7.4","","-6.1","","0.7","","17.3","","0.0","","","","","","0.0","","13","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-14","2022","02","14","","1.8","","-2.4","","-0.3","","18.3","","0.0","","","","","","2.4","","11","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-15","2022","02","15","","6.0","","0.0","","3.0","","15.0","","0.0","","","","","","0.2","","13","","28","","31",""
"-117.31","49.49","NELSON CS","1145M29","2022-02-16","2022","02","16","","8.7","","-0.6","","4.0","","14.0","","0.0","","","","","","0.3","","12","","","","",""
