,FIRE_ZONE,FIRE_YEAR,FIRE_MONTH,SIZE_HA
0,Coastal_NorthIslandMidCoast,2022,12,0.0
0,Coastal_NorthIslandMidCoast,2022,11,0.0
0,Coastal_NorthIslandMidCoast,2022,10,0.0
0,Coastal_NorthIslandMidCoast,2022,9,449.70000000000005
0,Coastal_NorthIslandMidCoast,2022,8,782.8000000000001
0,Coastal_NorthIslandMidCoast,2022,7,0.0
0,Coastal_NorthIslandMidCoast,2022,6,0.0
0,Coastal_NorthIslandMidCoast,2022,5,0.0
0,Coastal_NorthIslandMidCoast,2022,4,0.0
0,Coastal_NorthIslandMidCoast,2022,3,0.0
0,Coastal_NorthIslandMidCoast,2022,2,0.0
0,Coastal_NorthIslandMidCoast,2022,1,0.0
0,Coastal_NorthIslandMidCoast,2021,12,0.0
0,Coastal_NorthIslandMidCoast,2021,11,0.0
0,Coastal_NorthIslandMidCoast,2021,10,0.0
0,Coastal_NorthIslandMidCoast,2021,9,0.0
0,Coastal_NorthIslandMidCoast,2021,8,5.3
0,Coastal_NorthIslandMidCoast,2021,7,299.9
0,Coastal_NorthIslandMidCoast,2021,6,0.0
0,Coastal_NorthIslandMidCoast,2021,5,0.0
0,Coastal_NorthIslandMidCoast,2021,4,16.9
0,Coastal_NorthIslandMidCoast,2021,3,0.0
0,Coastal_NorthIslandMidCoast,2021,2,0.0
0,Coastal_NorthIslandMidCoast,2021,1,0.0
0,Coastal_NorthIslandMidCoast,2020,12,0.0
0,Coastal_NorthIslandMidCoast,2020,11,0.0
0,Coastal_NorthIslandMidCoast,2020,10,0.0
0,Coastal_NorthIslandMidCoast,2020,9,0.0
0,Coastal_NorthIslandMidCoast,2020,8,0.0
0,Coastal_NorthIslandMidCoast,2020,7,0.0
0,Coastal_NorthIslandMidCoast,2020,6,0.0
0,Coastal_NorthIslandMidCoast,2020,5,0.0
0,Coastal_NorthIslandMidCoast,2020,4,18.0
0,Coastal_NorthIslandMidCoast,2020,3,0.0
0,Coastal_NorthIslandMidCoast,2020,2,0.0
0,Coastal_NorthIslandMidCoast,2020,1,0.0
0,Coastal_NorthIslandMidCoast,2019,12,0.0
0,Coastal_NorthIslandMidCoast,2019,11,0.0
0,Coastal_NorthIslandMidCoast,2019,10,0.0
0,Coastal_NorthIslandMidCoast,2019,9,0.0
0,Coastal_NorthIslandMidCoast,2019,8,0.5
0,Coastal_NorthIslandMidCoast,2019,7,40.199999999999996
0,Coastal_NorthIslandMidCoast,2019,6,0.0
0,Coastal_NorthIslandMidCoast,2019,5,34.800000000000004
0,Coastal_NorthIslandMidCoast,2019,4,4.0
0,Coastal_NorthIslandMidCoast,2019,3,0.0
0,Coastal_NorthIslandMidCoast,2019,2,0.0
0,Coastal_NorthIslandMidCoast,2019,1,0.0
0,Coastal_NorthIslandMidCoast,2018,12,0.0
0,Coastal_NorthIslandMidCoast,2018,11,0.0
0,Coastal_NorthIslandMidCoast,2018,10,15.0
0,Coastal_NorthIslandMidCoast,2018,9,0.0
0,Coastal_NorthIslandMidCoast,2018,8,25160.899999999998
0,Coastal_NorthIslandMidCoast,2018,7,136564.5
0,Coastal_NorthIslandMidCoast,2018,6,3.0
0,Coastal_NorthIslandMidCoast,2018,5,34.4
0,Coastal_NorthIslandMidCoast,2018,4,0.0
0,Coastal_NorthIslandMidCoast,2018,3,0.0
0,Coastal_NorthIslandMidCoast,2018,2,0.0
0,Coastal_NorthIslandMidCoast,2018,1,0.0
0,Coastal_NorthIslandMidCoast,2017,12,0.0
0,Coastal_NorthIslandMidCoast,2017,11,0.0
0,Coastal_NorthIslandMidCoast,2017,10,196.4
0,Coastal_NorthIslandMidCoast,2017,9,0.0
0,Coastal_NorthIslandMidCoast,2017,8,85.4
0,Coastal_NorthIslandMidCoast,2017,7,7380.099999999999
0,Coastal_NorthIslandMidCoast,2017,6,0.9
0,Coastal_NorthIslandMidCoast,2017,5,0.0
0,Coastal_NorthIslandMidCoast,2017,4,0.0
0,Coastal_NorthIslandMidCoast,2017,3,0.0
0,Coastal_NorthIslandMidCoast,2017,2,0.0
0,Coastal_NorthIslandMidCoast,2017,1,0.0
0,Coastal_NorthIslandMidCoast,2016,12,0.0
0,Coastal_NorthIslandMidCoast,2016,11,0.0
0,Coastal_NorthIslandMidCoast,2016,10,22.8
0,Coastal_NorthIslandMidCoast,2016,9,0.0
0,Coastal_NorthIslandMidCoast,2016,8,206.9
0,Coastal_NorthIslandMidCoast,2016,7,0.0
0,Coastal_NorthIslandMidCoast,2016,6,0.0
0,Coastal_NorthIslandMidCoast,2016,5,0.0
0,Coastal_NorthIslandMidCoast,2016,4,0.0
0,Coastal_NorthIslandMidCoast,2016,3,0.0
0,Coastal_NorthIslandMidCoast,2016,2,160.0
0,Coastal_NorthIslandMidCoast,2016,1,0.0
0,Coastal_NorthIslandMidCoast,2015,12,0.0
0,Coastal_NorthIslandMidCoast,2015,11,0.0
0,Coastal_NorthIslandMidCoast,2015,10,3.0
0,Coastal_NorthIslandMidCoast,2015,9,0.0
0,Coastal_NorthIslandMidCoast,2015,8,2.0
0,Coastal_NorthIslandMidCoast,2015,7,19.4
0,Coastal_NorthIslandMidCoast,2015,6,0.0
0,Coastal_NorthIslandMidCoast,2015,5,0.0
0,Coastal_NorthIslandMidCoast,2015,4,0.0
0,Coastal_NorthIslandMidCoast,2015,3,0.0
0,Coastal_NorthIslandMidCoast,2015,2,0.0
0,Coastal_NorthIslandMidCoast,2015,1,0.0
0,Coastal_NorthIslandMidCoast,2014,12,0.0
0,Coastal_NorthIslandMidCoast,2014,11,0.0
0,Coastal_NorthIslandMidCoast,2014,10,0.0
0,Coastal_NorthIslandMidCoast,2014,9,66.2
0,Coastal_NorthIslandMidCoast,2014,8,4.3
0,Coastal_NorthIslandMidCoast,2014,7,171.60000000000002
0,Coastal_NorthIslandMidCoast,2014,6,0.0
0,Coastal_NorthIslandMidCoast,2014,5,0.0
0,Coastal_NorthIslandMidCoast,2014,4,0.0
0,Coastal_NorthIslandMidCoast,2014,3,0.0
0,Coastal_NorthIslandMidCoast,2014,2,0.0
0,Coastal_NorthIslandMidCoast,2014,1,0.0
0,Coastal_NorthIslandMidCoast,2013,12,0.0
0,Coastal_NorthIslandMidCoast,2013,11,0.0
0,Coastal_NorthIslandMidCoast,2013,10,186.79999999999998
0,Coastal_NorthIslandMidCoast,2013,9,0.0
0,Coastal_NorthIslandMidCoast,2013,8,0.0
0,Coastal_NorthIslandMidCoast,2013,7,185.70000000000002
0,Coastal_NorthIslandMidCoast,2013,6,0.0
0,Coastal_NorthIslandMidCoast,2013,5,0.0
0,Coastal_NorthIslandMidCoast,2013,4,8.4
0,Coastal_NorthIslandMidCoast,2013,3,0.0
0,Coastal_NorthIslandMidCoast,2013,2,0.0
0,Coastal_NorthIslandMidCoast,2013,1,0.0
0,Coastal_NorthIslandMidCoast,2012,12,0.0
0,Coastal_NorthIslandMidCoast,2012,11,0.0
0,Coastal_NorthIslandMidCoast,2012,10,0.0
0,Coastal_NorthIslandMidCoast,2012,9,14.7
0,Coastal_NorthIslandMidCoast,2012,8,342.20000000000005
0,Coastal_NorthIslandMidCoast,2012,7,0.0
0,Coastal_NorthIslandMidCoast,2012,6,0.0
0,Coastal_NorthIslandMidCoast,2012,5,2.3
0,Coastal_NorthIslandMidCoast,2012,4,0.0
0,Coastal_NorthIslandMidCoast,2012,3,0.0
0,Coastal_NorthIslandMidCoast,2012,2,0.0
0,Coastal_NorthIslandMidCoast,2012,1,0.0
0,Coastal_NorthIslandMidCoast,2011,12,0.0
0,Coastal_NorthIslandMidCoast,2011,11,0.0
0,Coastal_NorthIslandMidCoast,2011,10,0.0
0,Coastal_NorthIslandMidCoast,2011,9,0.0
0,Coastal_NorthIslandMidCoast,2011,8,0.9
0,Coastal_NorthIslandMidCoast,2011,7,0.0
0,Coastal_NorthIslandMidCoast,2011,6,0.0
0,Coastal_NorthIslandMidCoast,2011,5,0.0
0,Coastal_NorthIslandMidCoast,2011,4,0.0
0,Coastal_NorthIslandMidCoast,2011,3,0.0
0,Coastal_NorthIslandMidCoast,2011,2,0.0
0,Coastal_NorthIslandMidCoast,2011,1,0.0
0,Coastal_NorthIslandMidCoast,2010,12,0.0
0,Coastal_NorthIslandMidCoast,2010,11,0.0
0,Coastal_NorthIslandMidCoast,2010,10,0.0
0,Coastal_NorthIslandMidCoast,2010,9,0.0
0,Coastal_NorthIslandMidCoast,2010,8,4563.200000000001
0,Coastal_NorthIslandMidCoast,2010,7,3.3000000000000003
0,Coastal_NorthIslandMidCoast,2010,6,0.0
0,Coastal_NorthIslandMidCoast,2010,5,0.0
0,Coastal_NorthIslandMidCoast,2010,4,0.0
0,Coastal_NorthIslandMidCoast,2010,3,0.0
0,Coastal_NorthIslandMidCoast,2010,2,0.0
0,Coastal_NorthIslandMidCoast,2010,1,0.0
0,Coastal_NorthIslandMidCoast,2009,12,0.0
0,Coastal_NorthIslandMidCoast,2009,11,0.0
0,Coastal_NorthIslandMidCoast,2009,10,0.0
0,Coastal_NorthIslandMidCoast,2009,9,0.0
0,Coastal_NorthIslandMidCoast,2009,8,714.0
0,Coastal_NorthIslandMidCoast,2009,7,2692.2
0,Coastal_NorthIslandMidCoast,2009,6,0.0
0,Coastal_NorthIslandMidCoast,2009,5,35.8
0,Coastal_NorthIslandMidCoast,2009,4,0.0
0,Coastal_NorthIslandMidCoast,2009,3,0.0
0,Coastal_NorthIslandMidCoast,2009,2,0.0
0,Coastal_NorthIslandMidCoast,2009,1,0.0
0,Coastal_NorthIslandMidCoast,2008,12,0.0
0,Coastal_NorthIslandMidCoast,2008,11,0.0
0,Coastal_NorthIslandMidCoast,2008,10,0.0
0,Coastal_NorthIslandMidCoast,2008,9,0.0
0,Coastal_NorthIslandMidCoast,2008,8,0.0
0,Coastal_NorthIslandMidCoast,2008,7,0.0
0,Coastal_NorthIslandMidCoast,2008,6,0.0
0,Coastal_NorthIslandMidCoast,2008,5,0.0
0,Coastal_NorthIslandMidCoast,2008,4,0.0
