,Zone,Year,Month,Mean Temp (°C),Total Precip (mm)
0,Coastal_NorthIslandMidCoast,2022,12,,0.0
0,Coastal_NorthIslandMidCoast,2022,11,,0.0
0,Coastal_NorthIslandMidCoast,2022,10,,0.0
0,Coastal_NorthIslandMidCoast,2022,9,,0.0
0,Coastal_NorthIslandMidCoast,2022,8,,0.0
0,Coastal_NorthIslandMidCoast,2022,7,,0.0
0,Coastal_NorthIslandMidCoast,2022,6,,0.0
0,Coastal_NorthIslandMidCoast,2022,5,,0.0
0,Coastal_NorthIslandMidCoast,2022,4,,0.0
0,Coastal_NorthIslandMidCoast,2022,3,,0.0
0,Coastal_NorthIslandMidCoast,2022,2,,0.0
0,Coastal_NorthIslandMidCoast,2022,1,,0.0
0,Coastal_NorthIslandMidCoast,2021,12,,0.0
0,Coastal_NorthIslandMidCoast,2021,11,,0.0
0,Coastal_NorthIslandMidCoast,2021,10,,0.0
0,Coastal_NorthIslandMidCoast,2021,9,,0.0
0,Coastal_NorthIslandMidCoast,2021,8,,0.0
0,Coastal_NorthIslandMidCoast,2021,7,,0.0
0,Coastal_NorthIslandMidCoast,2021,6,,0.0
0,Coastal_NorthIslandMidCoast,2021,5,,0.0
0,Coastal_NorthIslandMidCoast,2021,4,,0.0
0,Coastal_NorthIslandMidCoast,2021,3,,0.0
0,Coastal_NorthIslandMidCoast,2021,2,,0.0
0,Coastal_NorthIslandMidCoast,2021,1,,0.0
0,Coastal_NorthIslandMidCoast,2020,12,,0.0
0,Coastal_NorthIslandMidCoast,2020,11,,0.0
0,Coastal_NorthIslandMidCoast,2020,10,,0.0
0,Coastal_NorthIslandMidCoast,2020,9,,0.0
0,Coastal_NorthIslandMidCoast,2020,8,,0.0
0,Coastal_NorthIslandMidCoast,2020,7,,0.0
0,Coastal_NorthIslandMidCoast,2020,6,,0.0
0,Coastal_NorthIslandMidCoast,2020,5,,0.0
0,Coastal_NorthIslandMidCoast,2020,4,,0.0
0,Coastal_NorthIslandMidCoast,2020,3,,0.0
0,Coastal_NorthIslandMidCoast,2020,2,,0.0
0,Coastal_NorthIslandMidCoast,2020,1,,0.0
0,Coastal_NorthIslandMidCoast,2019,12,,0.0
0,Coastal_NorthIslandMidCoast,2019,11,,0.0
0,Coastal_NorthIslandMidCoast,2019,10,,0.0
0,Coastal_NorthIslandMidCoast,2019,9,,0.0
0,Coastal_NorthIslandMidCoast,2019,8,,0.0
0,Coastal_NorthIslandMidCoast,2019,7,,0.0
0,Coastal_NorthIslandMidCoast,2019,6,,0.0
0,Coastal_NorthIslandMidCoast,2019,5,,0.0
0,Coastal_NorthIslandMidCoast,2019,4,,0.0
0,Coastal_NorthIslandMidCoast,2019,3,,0.0
0,Coastal_NorthIslandMidCoast,2019,2,,0.0
0,Coastal_NorthIslandMidCoast,2019,1,,0.0
0,Coastal_NorthIslandMidCoast,2018,12,,0.0
0,Coastal_NorthIslandMidCoast,2018,11,,0.0
0,Coastal_NorthIslandMidCoast,2018,10,,0.0
0,Coastal_NorthIslandMidCoast,2018,9,,0.0
0,Coastal_NorthIslandMidCoast,2018,8,,0.0
0,Coastal_NorthIslandMidCoast,2018,7,,0.0
0,Coastal_NorthIslandMidCoast,2018,6,,0.0
0,Coastal_NorthIslandMidCoast,2018,5,,0.0
0,Coastal_NorthIslandMidCoast,2018,4,,0.0
0,Coastal_NorthIslandMidCoast,2018,3,,0.0
0,Coastal_NorthIslandMidCoast,2018,2,,0.0
0,Coastal_NorthIslandMidCoast,2018,1,,0.0
0,Coastal_NorthIslandMidCoast,2017,12,,0.0
0,Coastal_NorthIslandMidCoast,2017,11,2.5166666666666666,87.3
0,Coastal_NorthIslandMidCoast,2017,10,8.690322580645162,321.9
0,Coastal_NorthIslandMidCoast,2017,9,14.496551724137932,115.8
0,Coastal_NorthIslandMidCoast,2017,8,17.632258064516126,52.099999999999994
0,Coastal_NorthIslandMidCoast,2017,7,17.029032258064518,36.8
0,Coastal_NorthIslandMidCoast,2017,6,15.280000000000001,32.8
0,Coastal_NorthIslandMidCoast,2017,5,12.829032258064515,51.900000000000006
0,Coastal_NorthIslandMidCoast,2017,4,9.283333333333333,30.599999999999998
0,Coastal_NorthIslandMidCoast,2017,3,3.1096774193548384,65.00000000000001
0,Coastal_NorthIslandMidCoast,2017,2,0.1464285714285714,64.8
0,Coastal_NorthIslandMidCoast,2017,1,-0.4193548387096773,134.4
0,Coastal_NorthIslandMidCoast,2016,12,-2.5032258064516126,152.79999999999998
0,Coastal_NorthIslandMidCoast,2016,11,5.536666666666666,251.89999999999998
0,Coastal_NorthIslandMidCoast,2016,10,8.370967741935484,72.60000000000002
0,Coastal_NorthIslandMidCoast,2016,9,13.076666666666666,118.2
0,Coastal_NorthIslandMidCoast,2016,8,18.974193548387095,89.0
0,Coastal_NorthIslandMidCoast,2016,7,17.641935483870967,52.199999999999996
0,Coastal_NorthIslandMidCoast,2016,6,15.666666666666666,92.4
0,Coastal_NorthIslandMidCoast,2016,5,14.061290322580646,13.400000000000002
0,Coastal_NorthIslandMidCoast,2016,4,11.020000000000001,59.60000000000001
0,Coastal_NorthIslandMidCoast,2016,3,8.015789473684212,26.0
0,Coastal_NorthIslandMidCoast,2016,2,4.69,72.60000000000001
0,Coastal_NorthIslandMidCoast,2016,1,-0.2935483870967743,108.60000000000001
0,Coastal_NorthIslandMidCoast,2015,12,-1.2185185185185186,173.4
0,Coastal_NorthIslandMidCoast,2015,11,2.603571428571428,162.0
0,Coastal_NorthIslandMidCoast,2015,10,10.951612903225808,179.4
0,Coastal_NorthIslandMidCoast,2015,9,12.356666666666666,141.70000000000002
0,Coastal_NorthIslandMidCoast,2015,8,17.85161290322581,65.60000000000001
0,Coastal_NorthIslandMidCoast,2015,7,19.506451612903227,60.8
0,Coastal_NorthIslandMidCoast,2015,6,18.05,12.799999999999999
0,Coastal_NorthIslandMidCoast,2015,5,14.729032258064516,6.200000000000001
0,Coastal_NorthIslandMidCoast,2015,4,8.34,61.00000000000001
0,Coastal_NorthIslandMidCoast,2015,3,7.441935483870969,225.60000000000002
0,Coastal_NorthIslandMidCoast,2015,2,4.671428571428571,87.2
0,Coastal_NorthIslandMidCoast,2015,1,1.0571428571428572,238.89999999999995
0,Coastal_NorthIslandMidCoast,2014,12,0.6354838709677421,134.2
0,Coastal_NorthIslandMidCoast,2014,11,2.6066666666666674,353.4
0,Coastal_NorthIslandMidCoast,2014,10,10.70689655172414,254.40000000000003
0,Coastal_NorthIslandMidCoast,2014,9,16.10344827586207,44.6
0,Coastal_NorthIslandMidCoast,2014,8,19.01290322580645,20.8
0,Coastal_NorthIslandMidCoast,2014,7,18.81935483870968,50.300000000000004
0,Coastal_NorthIslandMidCoast,2014,6,15.855172413793102,11.6
0,Coastal_NorthIslandMidCoast,2014,5,13.74,39.6
0,Coastal_NorthIslandMidCoast,2014,4,9.051724137931032,39.0
0,Coastal_NorthIslandMidCoast,2014,3,2.796774193548387,94.1
0,Coastal_NorthIslandMidCoast,2014,2,-0.6555555555555556,67.7
0,Coastal_NorthIslandMidCoast,2014,1,3.0612903225806454,130.0
0,Coastal_NorthIslandMidCoast,2013,12,1.5967741935483868,219.8
0,Coastal_NorthIslandMidCoast,2013,11,3.5166666666666666,119.1
0,Coastal_NorthIslandMidCoast,2013,10,8.28,102.89999999999998
0,Coastal_NorthIslandMidCoast,2013,9,15.406666666666665,42.60000000000001
0,Coastal_NorthIslandMidCoast,2013,8,17.79032258064516,58.6
0,Coastal_NorthIslandMidCoast,2013,7,18.59032258064516,18.0
0,Coastal_NorthIslandMidCoast,2013,6,15.731034482758622,78.4
0,Coastal_NorthIslandMidCoast,2013,5,13.219354838709675,67.30000000000001
0,Coastal_NorthIslandMidCoast,2013,4,8.441379310344827,67.4
0,Coastal_NorthIslandMidCoast,2013,3,5.306451612903226,122.39999999999999
0,Coastal_NorthIslandMidCoast,2013,2,3.8285714285714287,146.0
0,Coastal_NorthIslandMidCoast,2013,1,0.28709677419354845,100.60000000000001
0,Coastal_NorthIslandMidCoast,2012,12,-0.5516129032258066,78.4
0,Coastal_NorthIslandMidCoast,2012,11,3.4600000000000004,84.4
0,Coastal_NorthIslandMidCoast,2012,10,7.993548387096775,157.9
0,Coastal_NorthIslandMidCoast,2012,9,14.47,84.2
0,Coastal_NorthIslandMidCoast,2012,8,17.538709677419355,28.900000000000002
0,Coastal_NorthIslandMidCoast,2012,7,17.677419354838708,16.5
0,Coastal_NorthIslandMidCoast,2012,6,13.896666666666668,67.6
0,Coastal_NorthIslandMidCoast,2012,5,11.441935483870967,33.2
0,Coastal_NorthIslandMidCoast,2012,4,8.746666666666666,56.800000000000004
0,Coastal_NorthIslandMidCoast,2012,3,4.358064516129032,81.0
0,Coastal_NorthIslandMidCoast,2012,2,3.0999999999999996,75.60000000000001
0,Coastal_NorthIslandMidCoast,2012,1,-1.8275862068965518,412.59999999999997
0,Coastal_NorthIslandMidCoast,2011,12,1.6846153846153844,345.6
0,Coastal_NorthIslandMidCoast,2011,11,2.52,273.3
0,Coastal_NorthIslandMidCoast,2011,10,8.306451612903226,135.79999999999998
0,Coastal_NorthIslandMidCoast,2011,9,14.05,301.99999999999994
0,Coastal_NorthIslandMidCoast,2011,8,16.227586206896554,73.5
0,Coastal_NorthIslandMidCoast,2011,7,15.222580645161289,103.60000000000001
0,Coastal_NorthIslandMidCoast,2011,6,14.98333333333333,43.0
0,Coastal_NorthIslandMidCoast,2011,5,11.554838709677421,56.00000000000001
0,Coastal_NorthIslandMidCoast,2011,4,6.303333333333334,52.00000000000001
0,Coastal_NorthIslandMidCoast,2011,3,3.6806451612903226,70.39999999999999
0,Coastal_NorthIslandMidCoast,2011,2,-0.5851851851851853,181.59999999999997
0,Coastal_NorthIslandMidCoast,2011,1,-0.26551724137931015,178.39999999999998
0,Coastal_NorthIslandMidCoast,2010,12,-0.09354838709677414,113.0
0,Coastal_NorthIslandMidCoast,2010,11,1.4200000000000002,107.79999999999998
