,FIRE_ZONE,FIRE_YEAR,FIRE_MONTH,SIZE_HA
0,Cariboo_Quesnel,2009,April,"SIZE_HA    35.7
dtype: float64"
18327,Northwest_Cassiar,2009,July,113.9
18328,Northwest_Cassiar,2009,July,118.1
18329,Northwest_Cassiar,2009,July,841.5
18330,Northwest_Cassiar,2009,July,185.0
18331,Kamloops_Kamloops,2009,April,49.7
18332,Kamloops_Kamloops,2009,May,1.3
18333,Kamloops_Kamloops,2009,May,150.3
18334,Kamloops_Kamloops,2009,May,0.7
18335,Kamloops_Penticton,2009,July,9.3
18336,Kamloops_Penticton,2009,July,3.5
18337,Kamloops_Penticton,2009,July,0.9
18338,Kamloops_Penticton,2009,August,2.7
18339,Kamloops_Penticton,2009,August,2.0
18340,Kamloops_Merritt,2009,April,3.7
18341,Southeast_Arrow,2009,September,1.9
18342,Southeast_Arrow,2009,September,60.2
18343,Northwest_Cassiar,2009,July,286.6
18344,Northwest_Cassiar,2009,July,4659.4
18345,Northwest_Cassiar,2009,July,1455.0
18346,Northwest_Cassiar,2009,August,0.0
18347,Coastal_Fraser,2009,April,0.0
18348,Kamloops_Kamloops,2009,June,2.4
18349,Kamloops_Kamloops,2009,June,1.8
18350,Kamloops_Kamloops,2009,June,3.0
18351,Kamloops_Merritt,2009,April,15.1
18352,Kamloops_Merritt,2009,April,6.3
18353,Kamloops_Merritt,2009,April,14.6
18354,Kamloops_Merritt,2009,May,14.6
18355,Kamloops_Merritt,2009,April,16.4
18356,Kamloops_Merritt,2009,May,4.1
18357,Kamloops_Merritt,2009,May,125.5
18358,Kamloops_Merritt,2009,May,5.2
18359,Kamloops_Merritt,2009,June,6.6
18360,Kamloops_Merritt,2009,June,1.3
18361,Southeast_Arrow,2009,September,14.9
18362,Southeast_Arrow,2009,September,0.9
18363,Southeast_Arrow,2009,September,1.8
18364,Coastal_Fraser,2009,May,0.7
18365,Coastal_Fraser,2009,July,4.0
18366,Coastal_Fraser,2009,July,20.1
18367,Coastal_Fraser,2009,July,19.2
18368,Coastal_Fraser,2009,July,0.2
18369,Coastal_Fraser,2009,July,101.0
18370,Coastal_Fraser,2009,July,0.8
18371,Kamloops_Kamloops,2009,June,7.9
18372,Kamloops_Kamloops,2009,June,45.4
18373,Kamloops_Merritt,2009,June,3.6
18374,Kamloops_Merritt,2009,July,3.9
18375,Kamloops_Merritt,2009,July,2.4
18376,Kamloops_Merritt,2009,July,2869.4
18377,Kamloops_Merritt,2009,August,1.5
18378,Kamloops_Merritt,2009,August,21.5
18379,Kamloops_Merritt,2009,August,40.1
18380,Kamloops_Lillooet,2009,April,55.1
18381,Kamloops_Lillooet,2009,April,0.2
18382,Kamloops_Lillooet,2009,April,19.7
18383,Kamloops_Lillooet,2009,April,63.7
18384,Southeast_Boundary,2009,April,5.9
18385,Southeast_Boundary,2009,June,1.4
18386,Coastal_Fraser,2009,July,6.2
18387,Coastal_Fraser,2009,July,14.8
18388,Coastal_Fraser,2009,July,0.1
18389,Coastal_Fraser,2009,July,437.8
18390,Coastal_Fraser,2009,July,32.6
18391,Coastal_Fraser,2009,July,0.1
18392,Coastal_Fraser,2009,July,1.6
18393,Kamloops_Kamloops,2009,June,3.8
18394,Kamloops_Kamloops,2009,June,1.1
18395,Kamloops_Kamloops,2009,June,6.0
18396,Kamloops_Lillooet,2009,April,0.2
18397,Kamloops_Lillooet,2009,April,1.8
18398,Kamloops_Lillooet,2009,April,8.2
18399,Kamloops_Lillooet,2009,May,2.2
18400,Kamloops_Lillooet,2009,May,8051.7
18401,Kamloops_Lillooet,2009,May,1.0
18402,Kamloops_Lillooet,2009,July,3652.4
18403,Kamloops_Lillooet,2009,July,17.6
18404,Southeast_Boundary,2009,July,1.5
18405,Southeast_Kootenay,2009,July,1.4
18406,Southeast_Kootenay,2009,July,3.3
18407,Southeast_Kootenay,2009,August,1.3
18408,Southeast_Kootenay,2009,September,29.2
18409,Southeast_Kootenay,2009,August,130.8
18410,Southeast_Kootenay,2009,September,1.4
18411,Coastal_Fraser,2009,August,1.8
18412,Coastal_Fraser,2009,August,1.8
18413,Coastal_Fraser,2009,July,0.1
18414,Coastal_Fraser,2009,August,65.8
18415,Coastal_Fraser,2009,August,0.2
18416,Coastal_Pemberton,2009,May,4.3
18417,Coastal_Pemberton,2009,July,863.0
18418,Coastal_Pemberton,2009,July,657.8
18419,Coastal_Pemberton,2009,July,296.5
18420,Coastal_Pemberton,2009,July,31.2
18421,Kamloops_Kamloops,2009,July,1.2
18422,Kamloops_Kamloops,2009,July,2.0
18423,Kamloops_Kamloops,2009,July,49.8
18424,Kamloops_Kamloops,2009,July,2.8
18425,Kamloops_Lillooet,2009,July,1596.6
18426,Kamloops_Lillooet,2009,July,7835.1
18427,Kamloops_Lillooet,2009,July,112.8
18428,Kamloops_Lillooet,2009,July,2042.0
18429,Kamloops_Lillooet,2009,July,6467.9
18430,Kamloops_Lillooet,2009,July,4574.6
18431,Kamloops_Lillooet,2009,August,1753.3
18432,Kamloops_Lillooet,2009,August,51.6
18433,Southeast_Cranbrook,2009,April,18.5
18434,Southeast_Cranbrook,2009,April,61.7
18435,Southeast_Kootenay,2009,September,1.9
18436,Southeast_Kootenay,2009,August,9.1
18437,Northwest_Nadina,2009,April,7.4
18438,Northwest_Nadina,2009,April,5.6
18439,Northwest_Nadina,2009,May,2.4
18440,Coastal_NorthIslandMidCoast,2009,July,5.6
18441,Coastal_NorthIslandMidCoast,2009,July,0.8
18442,Coastal_NorthIslandMidCoast,2009,July,201.1
18443,Coastal_NorthIslandMidCoast,2009,August,4.5
18444,Coastal_NorthIslandMidCoast,2009,August,0.4
18445,Coastal_NorthIslandMidCoast,2009,August,1.0
18446,Kamloops_Kamloops,2009,July,4.5
18447,Kamloops_Kamloops,2009,July,60.2
18448,Kamloops_Kamloops,2009,July,59.0
18449,Kamloops_Kamloops,2009,July,240.7
18450,Southeast_Cranbrook,2009,April,2.6
18451,Southeast_Cranbrook,2009,April,1.1
18452,Southeast_Cranbrook,2009,April,1.6
18453,Southeast_Cranbrook,2009,April,51.4
18454,Southeast_Cranbrook,2009,May,27.2
18455,Southeast_Cranbrook,2009,May,1.1
18456,Southeast_Cranbrook,2009,June,20.1
18457,Southeast_Cranbrook,2009,July,1.3
18458,Northwest_Nadina,2009,May,2.6
18459,Northwest_Nadina,2009,May,1.7
18460,Northwest_Nadina,2009,May,16.1
18461,Northwest_Nadina,2009,July,1060.4
18462,Coastal_NorthIslandMidCoast,2009,July,1.2
18463,Coastal_NorthIslandMidCoast,2009,August,0.1
18464,Coastal_NorthIslandMidCoast,2009,July,454.0
18465,Coastal_NorthIslandMidCoast,2009,July,2.6
18466,Coastal_NorthIslandMidCoast,2009,July,4.1
18467,Coastal_NorthIslandMidCoast,2009,August,1.3
18468,Coastal_NorthIslandMidCoast,2009,July,5.9
18469,Coastal_NorthIslandMidCoast,2009,July,1.0
18470,Coastal_NorthIslandMidCoast,2009,July,0.5
18471,Coastal_NorthIslandMidCoast,2009,July,1.4
18472,Kamloops_Kamloops,2009,July,1.5
18473,Kamloops_Kamloops,2009,July,4.7
18474,Kamloops_Kamloops,2009,July,0.8
18475,Kamloops_Kamloops,2009,August,1.6
18476,Kamloops_Kamloops,2009,August,2.7
18477,Southeast_Cranbrook,2009,July,2.2
18478,Southeast_Cranbrook,2009,July,0.3
18479,Southeast_Cranbrook,2009,March,2.6
18480,Northwest_Nadina,2009,July,135.5
18481,Northwest_Nadina,2009,July,1251.8
18482,Northwest_Nadina,2009,August,291.7
18483,Northwest_Nadina,2009,May,1.1
18484,Northwest_Nadina,2009,June,1.3
18485,Coastal_SunshineCoast,2009,August,6.2
18486,Coastal_SouthIsland,2009,April,0.4
18487,Coastal_SouthIsland,2009,August,1.2
18488,Coastal_SouthIsland,2009,October,4.8
18489,Coastal_MidIsland,2009,April,2.3
18490,Coastal_MidIsland,2009,April,1.0
18491,Kamloops_Kamloops,2009,August,1.9
18492,Kamloops_Kamloops,2009,July,2.3
18493,Kamloops_Kamloops,2009,August,13.2
18494,Kamloops_Kamloops,2009,August,37.9
18495,Southeast_Invermere,2009,April,3.4
18496,Southeast_Invermere,2009,April,0.3
18497,Southeast_Invermere,2009,April,0.7
18498,Northwest_Nadina,2009,June,3.3
18499,Northwest_Nadina,2009,July,49.3
18500,Northwest_Nadina,2009,July,34.5
18501,Coastal_NorthIslandMidCoast,2009,July,573.7
18502,Coastal_NorthIslandMidCoast,2009,August,369.6
18503,Coastal_NorthIslandMidCoast,2009,July,48.6
18504,Coastal_NorthIslandMidCoast,2009,July,66.1
18505,Coastal_NorthIslandMidCoast,2009,July,13.8
18506,Coastal_NorthIslandMidCoast,2009,July,51.1
18507,Coastal_NorthIslandMidCoast,2009,July,14.5
18508,Kamloops_Kamloops,2009,August,8.6
18509,Kamloops_Kamloops,2009,August,30.9
18510,Kamloops_Kamloops,2009,August,113.6
18511,Kamloops_Kamloops,2009,August,171.2
18512,Kamloops_Kamloops,2009,August,357.2
18514,Southeast_Invermere,2009,April,0.9
18515,Southeast_Invermere,2009,May,2.9
18516,Northwest_Nadina,2009,July,135.9
18517,Northwest_Nadina,2009,July,9.4
18518,Coastal_Pemberton,2009,July,28.4
18519,Coastal_Pemberton,2009,July,192.0
18520,Coastal_Pemberton,2009,August,29.7
18521,Coastal_Pemberton,2009,July,2.2
18522,Coastal_Pemberton,2009,August,2.2
18523,Coastal_SunshineCoast,2009,May,1.9
18524,Coastal_SunshineCoast,2009,May,1.1
18525,Coastal_SunshineCoast,2009,July,1.9
18526,Kamloops_Kamloops,2009,August,1.9
18527,Kamloops_Kamloops,2009,September,1.8
18528,Kamloops_Kamloops,2009,September,1.3
18529,Kamloops_Kamloops,2009,September,595.3
18530,Kamloops_Kamloops,2009,March,1.2
18531,Southeast_Invermere,2009,June,23.0
18532,Southeast_Invermere,2009,July,0.3
18533,Southeast_Invermere,2009,July,2.4
18534,Southeast_Invermere,2009,July,1.2
18535,Southeast_Invermere,2009,August,2.7
18536,Northwest_Nadina,2009,July,728.7
18537,Northwest_Nadina,2009,July,483.0
18538,Coastal_MidIsland,2009,May,1.8
18539,Coastal_MidIsland,2009,June,0.2
18540,Coastal_MidIsland,2009,June,0.3
18541,Coastal_MidIsland,2009,June,0.4
18542,Coastal_MidIsland,2009,June,0.0
18543,Coastal_MidIsland,2009,June,0.0
18544,Coastal_MidIsland,2009,June,0.9
18545,Coastal_MidIsland,2009,July,0.8
18546,Kamloops_Kamloops,2009,March,1.3
18547,Kamloops_Kamloops,2009,March,5.5
18552,Southeast_Invermere,2009,November,8.7
18553,Southeast_Columbia,2009,May,0.0
18554,Southeast_Columbia,2009,July,213.2
18555,Southeast_Columbia,2009,July,15.4
18556,Southeast_Columbia,2009,July,105.9
18557,Southeast_Columbia,2009,July,33.0
18558,Southeast_Columbia,2009,July,0.8
18559,Southeast_Columbia,2009,July,15.9
18560,Northwest_Nadina,2009,July,0.9
18561,Northwest_Nadina,2009,August,13.1
18562,Northwest_Bulkley,2009,April,1.4
18563,Northwest_Bulkley,2009,May,1.4
18564,Northwest_Bulkley,2009,July,2.8
18565,Coastal_NorthIslandMidCoast,2009,July,6.5
18566,Coastal_NorthIslandMidCoast,2009,May,35.8
18567,Coastal_NorthIslandMidCoast,2009,July,8.8
18568,Coastal_NorthIslandMidCoast,2009,July,133.5
18576,Southeast_Columbia,2009,July,52.1
18577,Southeast_Columbia,2009,July,15.9
18578,Southeast_Columbia,2009,July,1.5
18579,Southeast_Columbia,2009,July,5.3
18580,Southeast_Columbia,2009,July,285.1
18581,Southeast_Columbia,2009,July,9.9
18582,Southeast_Columbia,2009,July,1.0
18583,Southeast_Columbia,2009,August,1.2
18584,Southeast_Columbia,2009,August,5.4
18585,Northwest_Bulkley,2009,July,15.3
18586,Northwest_Bulkley,2009,April,11.4
18587,Northwest_Bulkley,2009,April,3.7
18588,Northwest_Bulkley,2009,April,2.5
18589,Northwest_Bulkley,2009,April,1.8
18590,Northwest_Bulkley,2009,May,13.3
18591,Northwest_Bulkley,2009,May,3.0
18592,Coastal_SunshineCoast,2009,July,0.8
18593,Coastal_SunshineCoast,2009,July,0.1
18594,Coastal_SunshineCoast,2009,July,0.1
18595,Coastal_SunshineCoast,2009,August,59.1
18596,Coastal_SunshineCoast,2009,August,63.7
18597,Coastal_SunshineCoast,2009,August,214.7
18598,Coastal_SunshineCoast,2009,August,4.4
18602,Kamloops_Vernon,2009,April,4.9
18603,Kamloops_Vernon,2009,April,1.9
18604,Kamloops_Vernon,2009,April,43.6
18605,Kamloops_Vernon,2009,June,2.7
18606,Southeast_Columbia,2009,August,4.3
18607,Southeast_Columbia,2009,August,1.9
18608,Southeast_Columbia,2009,August,104.3
18609,Southeast_Columbia,2009,August,76.4
18610,Southeast_Columbia,2009,August,24.3
18611,Southeast_Columbia,2009,August,0.0
18612,Northwest_Bulkley,2009,May,15.0
18613,Northwest_Bulkley,2009,July,309.2
18614,Northwest_Bulkley,2009,July,977.3
